School Number,School Type,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment
93939,Public,30,30,40,35,40,35,45,40
431028,Public,15,15,10,10,10,10,10,20
605743,Public,40,35,25,20,35,30,35,45
450910,Public,95,80,70,85,85,75,0,0
484970,Public,35,40,25,35,20,30,35,25
290604,Public,0,0,0,0,0,0,130,150
155683,Public,25,35,45,25,40,40,30,40
529826,Public,10,10,10,0,0,0,0,0
540200,Public,15,20,10,10,15,15,10,20
569565,Public,45,35,35,45,45,45,45,40
690015,Catholic,25,25,25,30,20,20,20,25
769930,Catholic,15,15,15,20,15,30,20,15
696900,Catholic,20,25,20,25,20,30,20,10
714453,Catholic,25,25,15,20,20,25,20,25
716960,Catholic,30,20,15,20,15,15,20,15
750259,Catholic,40,30,35,30,30,30,40,25
736481,Catholic,35,35,40,20,25,25,25,20
739200,Catholic,30,40,20,30,40,25,45,35
743968,Catholic,10,10,10,10,10,10,10,10
749125,Catholic,25,15,25,30,35,30,35,35
753084,Catholic,10,15,15,15,10,15,15,10
762756,Catholic,50,55,45,50,45,35,35,40
759309,Catholic,15,15,15,20,10,20,15,20
704940,Catholic,65,45,55,60,60,50,60,55
779067,Catholic,20,30,25,20,35,25,25,25
782050,Catholic,15,10,10,10,10,10,15,20
789984,Catholic,20,40,30,35,30,30,25,30
793256,Catholic,25,30,35,45,45,35,50,55
810827,Catholic,55,60,70,60,50,45,45,60
818453,Catholic,35,35,45,40,30,40,20,35
831450,Catholic,20,20,15,15,15,15,10,15
834831,Catholic,10,10,10,10,10,10,10,10
834963,Catholic,20,25,25,30,20,25,30,20
840530,Catholic,10,15,15,15,15,10,10,15
840556,Catholic,25,25,25,25,25,25,20,30
844977,Catholic,15,20,15,20,20,20,15,20
846791,Catholic,20,25,30,25,20,30,35,30
850950,Catholic,20,15,10,20,15,20,10,15
853038,Catholic,15,15,20,20,20,20,15,15
721255,Catholic,45,35,35,30,30,25,30,30
711985,Catholic,35,40,30,20,30,35,35,30
710296,Catholic,10,10,10,15,10,15,10,10
