School Number,School Type,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment
412597,Public,55,70,50,70,70,60,0,0
230,Public,35,35,40,45,35,35,0,0
79839,Public,45,35,35,25,30,25,0,0
138681,Public,0,0,0,0,0,0,185,215
417726,Public,50,40,60,70,50,55,0,0
419796,Public,70,75,60,75,75,85,0,0
204986,Public,55,70,60,65,65,70,0,0
215970,Public,0,0,0,0,0,0,175,215
194239,Public,50,75,50,60,60,70,0,0
287180,Public,55,70,65,65,75,60,50,45
196502,Public,25,20,25,25,20,35,45,30
302864,Public,0,0,0,0,0,0,30,55
156108,Public,55,75,50,80,80,85,0,0
439568,Public,35,30,45,25,25,30,30,15
540030,Public,40,40,65,45,65,65,0,0
313190,Public,0,0,0,0,0,0,60,45
323187,Public,0,0,0,0,0,0,195,210
242420,Public,40,40,40,20,25,15,0,0
384771,Public,65,65,55,65,55,60,0,0
167811,Public,35,20,30,30,20,30,0,0
488550,Public,0,0,0,0,0,0,35,30
164852,Public,40,45,45,40,35,40,0,0
247352,Public,70,90,90,90,60,65,40,60
156051,Public,15,30,15,20,20,25,0,0
327445,Public,85,90,95,95,80,100,0,0
530457,Public,45,50,60,45,30,40,0,0
64491,Public,0,0,0,0,0,0,30,35
250627,Public,35,40,40,40,40,30,0,0
156035,Public,0,0,0,0,0,0,75,100
208944,Public,30,30,25,20,20,25,0,0
383392,Public,65,80,55,55,60,60,0,0
195774,Public,45,40,45,35,40,45,0,0
383376,Public,10,10,15,10,10,10,10,15
559458,Public,70,65,80,65,65,60,45,30
590,Public,30,30,30,35,30,35,45,40
505005,Public,15,20,20,20,20,15,0,0
70661,Public,25,15,15,20,10,20,20,10
73784,Public,20,25,30,15,20,15,30,20
84700,Public,20,20,25,20,25,20,35,25
94978,Public,85,95,75,65,60,65,60,70
105767,Public,15,20,25,20,20,25,30,30
121754,Public,45,35,25,40,40,30,40,35
235750,Public,45,45,55,40,40,50,55,45
547449,Public,0,0,0,0,0,40,100,90
180213,Public,10,10,10,10,10,10,10,10
131890,Public,50,50,50,45,50,55,30,45
139823,Public,15,20,15,25,20,30,30,20
1793,Public,40,40,40,50,45,30,60,40
156418,Public,25,20,25,25,25,20,30,30
165956,Public,25,30,25,20,20,25,20,30
195596,Public,30,30,25,40,55,35,70,50
197416,Public,35,50,40,40,40,40,45,30
326785,Public,55,75,65,65,95,70,85,80
207810,Public,20,20,20,20,20,25,30,25
210358,Public,50,55,55,45,55,50,60,50
218600,Public,25,15,20,20,25,15,25,30
201138,Public,45,35,40,35,40,45,40,45
221856,Public,50,55,55,70,55,50,55,65
225754,Public,15,15,10,25,10,20,20,20
226556,Public,15,15,25,20,20,25,25,25
228010,Public,40,45,30,45,40,45,35,30
229520,Public,35,40,35,35,30,35,35,30
294037,Public,70,70,60,65,55,65,65,65
254223,Public,20,25,30,20,20,30,30,25
281000,Public,30,30,25,35,35,30,30,30
281654,Public,25,35,45,35,35,20,25,30
264237,Public,75,75,80,70,75,65,70,65
1649,Public,65,60,60,75,50,50,60,60
283991,Public,10,20,15,15,15,15,15,20
287660,Public,60,55,70,55,75,75,60,70
304921,Public,50,30,35,40,30,35,50,50
313114,Public,30,35,35,35,35,30,35,20
318086,Public,35,40,30,40,40,40,35,45
344834,Public,25,25,20,30,30,30,50,30
352500,Public,30,45,35,45,50,60,60,45
382868,Public,35,20,25,25,30,30,40,50
414514,Public,35,45,40,35,40,55,35,40
414905,Public,15,10,20,20,20,20,20,15
417521,Public,25,30,20,30,25,25,30,25
419320,Public,35,35,30,35,25,35,35,50
433357,Public,15,10,10,20,10,15,0,0
436747,Public,20,30,35,25,35,35,35,35
557773,Public,45,45,50,45,35,35,45,40
514780,Public,35,45,40,30,35,45,45,35
449350,Public,35,40,35,30,45,30,40,25
451568,Public,30,30,30,40,25,25,40,25
452084,Public,35,25,40,40,40,35,45,45
455989,Public,45,40,35,45,35,45,55,45
456110,Public,60,60,75,65,60,60,55,45
455202,Public,20,35,15,30,20,20,30,35
455075,Public,25,30,20,20,15,30,10,25
457540,Public,50,55,55,40,45,40,60,40
458066,Public,45,35,35,40,45,40,45,35
461415,Public,55,65,55,50,45,55,45,55
483117,Public,55,50,50,50,55,55,65,55
485365,Public,30,35,40,45,25,35,40,35
491861,Public,30,15,25,25,25,15,25,20
505382,Public,35,50,60,45,55,50,55,55
514748,Public,25,15,15,15,20,20,20,15
517453,Public,20,35,35,40,30,30,35,45
117722,Public,35,45,45,45,45,45,40,50
529648,Public,35,40,40,40,40,30,40,35
535419,Public,15,20,15,25,20,15,15,20
536636,Public,35,30,40,35,25,35,40,40
254519,Public,50,55,50,50,50,60,45,55
569348,Public,35,25,30,30,30,25,35,20
573507,Public,10,10,10,10,10,10,0,0
156841,Public,40,40,35,25,35,40,20,30
598984,Public,20,25,25,35,20,30,25,30
602493,Public,15,25,30,15,20,25,25,30
607436,Public,25,30,20,30,15,15,20,30
510530,Public,15,25,20,20,35,25,20,30
581178,Public,20,25,20,20,20,20,10,25
618870,Public,10,15,10,15,10,15,15,15
45578,Public,30,25,25,35,25,20,0,0
97969,Public,40,40,40,35,30,30,0,0
252018,Public,10,10,10,10,10,10,10,10
114073,Public,30,40,45,40,40,40,35,40
140210,Public,10,15,10,10,10,10,25,15
282170,Public,10,10,10,10,10,10,0,0
181552,Public,20,25,25,25,30,25,0,0
619738,Public,0,0,0,0,0,0,25,25
193771,Public,15,20,15,20,20,25,0,0
221554,Public,15,25,20,30,25,25,0,0
76104,Public,20,10,20,20,10,25,0,0
600222,Public,0,0,0,0,0,0,35,35
347957,Public,20,15,15,20,15,10,0,0
291048,Public,10,10,10,10,10,10,0,0
296600,Public,0,0,0,0,0,0,65,70
384224,Public,65,60,60,50,50,50,0,0
445061,Public,20,25,25,30,15,30,0,0
468371,Public,0,0,0,0,0,0,140,135
428797,Public,0,0,0,0,0,0,75,65
502030,Public,25,30,15,25,25,15,0,0
519294,Public,0,10,10,10,10,10,0,0
550809,Public,10,10,10,10,10,10,0,0
50571,Public,0,0,0,0,0,0,55,65
270291,Public,55,50,50,55,50,35,0,0
361747,Public,35,40,45,60,60,60,0,0
685461,Catholic,60,50,65,45,25,25,30,35
689556,Catholic,45,35,30,60,35,30,30,35
682438,Catholic,30,25,30,25,30,40,30,25
706418,Catholic,30,25,25,65,40,20,50,40
693715,Catholic,35,85,35,40,35,40,35,35
697095,Catholic,30,25,25,25,20,30,40,30
701807,Catholic,20,25,75,20,25,20,20,15
703222,Catholic,85,35,50,60,20,30,25,25
696307,Catholic,25,25,30,20,25,30,25,25
706337,Catholic,15,20,60,15,20,15,25,30
857238,Catholic,20,25,15,35,25,25,15,35
730441,Catholic,30,40,40,45,45,60,45,45
708038,Catholic,25,25,25,30,20,30,25,75
708070,Catholic,25,25,30,50,50,20,30,35
708143,Catholic,55,30,40,30,30,20,85,40
714909,Catholic,45,70,50,45,40,40,40,65
716405,Catholic,25,30,20,25,50,60,50,50
819219,Catholic,25,30,30,20,25,25,85,25
726494,Catholic,35,30,30,40,50,40,40,45
730742,Catholic,20,40,25,20,25,55,15,30
731447,Catholic,40,45,45,40,40,45,60,50
742171,Catholic,20,20,25,25,30,20,20,30
742821,Catholic,10,10,10,45,15,10,10,15
782606,Catholic,10,15,15,75,70,20,35,20
747440,Catholic,10,10,15,10,60,30,35,25
749087,Catholic,30,35,20,30,35,30,25,25
747882,Catholic,55,50,55,50,50,60,55,55
750042,Catholic,10,15,10,15,10,10,40,15
752029,Catholic,40,30,40,30,35,35,35,45
867942,Catholic,30,75,25,25,20,25,20,25
759481,Catholic,60,30,20,35,40,30,50,45
770434,Catholic,35,25,30,45,30,35,30,25
766364,Catholic,55,35,45,55,35,55,50,45
759562,Catholic,35,25,35,40,35,30,35,35
772496,Catholic,50,35,45,45,50,60,55,60
770620,Catholic,45,50,55,70,30,30,25,40
771759,Catholic,25,35,30,40,45,60,70,55
773530,Catholic,25,30,25,30,30,25,30,40
776092,Catholic,35,20,25,30,20,30,20,20
776742,Catholic,40,55,55,55,50,55,50,50
777528,Catholic,20,25,25,40,30,25,20,25
780804,Catholic,20,50,25,20,20,15,25,20
781401,Catholic,40,45,45,35,50,40,40,45
781819,Catholic,20,25,20,25,35,40,40,45
783870,Catholic,40,35,55,35,50,85,40,55
784290,Catholic,35,45,30,25,20,25,30,20
785393,Catholic,65,45,55,70,55,70,65,75
785997,Catholic,20,10,25,20,65,25,20,15
786730,Catholic,25,30,40,25,30,25,25,25
690031,Catholic,25,45,25,25,20,25,25,25
787647,Catholic,35,45,45,35,35,25,30,35
789143,Catholic,40,45,45,45,15,25,15,25
789763,Catholic,25,35,15,20,35,25,35,35
792586,Catholic,55,55,40,50,45,30,45,45
792020,Catholic,40,45,60,45,60,55,40,45
794791,Catholic,15,25,25,25,20,20,30,25
795852,Catholic,55,55,55,65,55,100,50,55
796468,Catholic,30,25,30,20,20,20,15,20
797316,Catholic,30,20,25,35,25,30,50,45
797278,Catholic,15,20,20,25,35,20,35,25
798274,Catholic,35,35,55,70,25,40,80,45
800465,Catholic,25,25,15,30,50,50,50,55
801100,Catholic,25,30,20,30,20,25,20,20
801178,Catholic,65,75,70,55,55,50,55,60
690708,Catholic,70,15,20,20,35,25,35,35
803502,Catholic,35,45,40,40,30,40,35,35
801577,Catholic,30,30,50,20,40,25,30,25
680435,Catholic,25,20,30,40,30,45,30,50
806889,Catholic,35,20,20,20,20,15,15,15
811041,Catholic,15,30,25,55,25,30,30,40
816396,Catholic,15,20,15,45,45,45,35,45
800007,Catholic,35,30,35,35,45,30,40,75
816906,Catholic,20,25,25,45,20,20,20,10
818500,Catholic,25,20,30,25,25,20,20,35
819883,Catholic,15,10,20,15,15,10,15,20
819433,Catholic,35,35,50,40,40,30,40,55
750298,Catholic,30,30,20,60,55,55,65,55
822639,Catholic,25,15,85,25,20,15,20,20
821365,Catholic,30,20,30,30,30,20,30,30
823090,Catholic,30,25,35,15,40,30,40,65
824950,Catholic,30,40,20,20,30,35,25,35
832308,Catholic,25,25,20,35,55,30,15,35
835536,Catholic,25,20,45,30,50,50,40,55
836036,Catholic,45,50,40,100,25,45,45,65
839256,Catholic,20,20,25,20,20,25,30,25
843547,Catholic,40,25,25,25,20,20,35,35
845779,Catholic,15,25,20,15,35,30,15,35
846473,Catholic,55,50,55,50,20,30,20,30
847933,Catholic,15,25,25,15,50,40,10,10
848751,Catholic,40,30,25,30,25,30,35,40
848930,Catholic,30,25,30,25,55,20,30,25
849286,Catholic,35,45,55,45,40,55,45,60
850071,Catholic,25,30,20,30,35,80,40,40
850217,Catholic,25,30,40,50,40,70,65,55
850365,Catholic,45,25,25,30,30,25,60,20
850403,Catholic,70,50,50,55,50,55,55,55
851000,Catholic,15,30,20,30,25,110,30,35
851299,Catholic,40,35,20,30,45,45,45,55
852651,Catholic,25,20,30,35,50,60,75,105
856207,Catholic,40,40,30,50,75,60,75,80
856673,Catholic,45,60,50,55,55,65,65,60
856959,Catholic,25,20,20,30,80,50,45,50
858420,Catholic,35,40,65,55,60,50,50,55
857165,Catholic,35,30,50,25,20,35,25,45
865362,Catholic,20,15,20,20,10,15,60,60
683246,Catholic,35,40,35,35,35,40,45,65
715030,Catholic,45,35,30,35,80,90,40,40
812896,Catholic,40,60,60,35,55,60,95,100
775797,Catholic,25,20,20,35,50,60,55,70
738857,Catholic,25,45,45,45,50,55,65,65
684199,Catholic,40,20,20,25,30,25,35,25
783161,Catholic,20,15,20,15,70,50,15,20
807712,Catholic,70,60,60,55,50,45,45,35
860217,Catholic,65,75,55,50,40,45,40,40
681937,Catholic,45,30,25,40,40,50,40,25
706631,Catholic,20,20,25,25,25,20,25,20
776175,Catholic,30,45,50,20,30,35,30,45
723967,Catholic,30,35,30,30,35,30,25,30
750557,Catholic,45,55,65,60,55,65,65,60
724106,Catholic,40,25,20,25,15,15,20,20
721020,Catholic,45,55,60,40,50,45,55,65
688182,Catholic,40,35,45,50,45,60,75,110
733229,Catholic,15,55,25,20,15,20,20,15
863785,Catholic,40,30,35,30,35,25,35,30
843466,Catholic,25,20,20,75,20,15,20,25
860676,Catholic,0,0,0,0,0,0,80,70
806811,Catholic,75,105,90,100,100,105,105,75
871140,Catholic,30,45,45,30,35,40,45,30
710954,Catholic,25,10,20,20,15,25,20,20
720313,Catholic,10,10,10,10,10,10,15,10
826211,Catholic,0,0,0,0,0,0,75,75
845884,Catholic,35,25,30,25,40,30,0,0
764434,Catholic,30,20,15,25,25,20,25,20
771406,Catholic,20,25,15,35,30,25,35,35
777242,Catholic,50,60,60,55,55,70,55,65
762083,Catholic,25,25,20,20,25,25,35,25
691259,Catholic,35,45,30,30,40,40,45,40
781282,Catholic,30,25,30,40,35,30,25,45
784133,Catholic,50,50,50,50,50,45,55,55
789178,Catholic,70,45,55,55,70,60,70,70
791806,Catholic,20,10,15,15,25,15,25,15
796352,Catholic,10,15,10,10,10,10,0,0
798258,Catholic,50,40,55,45,40,55,50,40
798460,Catholic,55,50,40,45,35,45,40,45
803057,Catholic,40,40,35,50,30,55,65,70
806972,Catholic,20,25,20,30,25,30,40,40
724084,Catholic,25,30,25,25,30,20,0,0
805327,Catholic,40,35,40,30,25,45,45,35
814423,Catholic,50,50,50,30,55,50,55,45
811696,Catholic,40,20,40,35,35,35,25,30
762733,Catholic,35,50,55,50,60,55,65,70
772020,Catholic,30,40,25,35,30,30,40,30
750435,Catholic,70,75,70,70,50,55,55,30
818844,Catholic,30,30,35,20,30,40,20,30
820830,Catholic,55,40,40,60,50,55,45,50
730718,Catholic,20,25,20,20,30,25,20,25
823015,Catholic,75,55,70,60,70,80,50,60
830801,Catholic,30,35,40,45,25,45,45,45
835668,Catholic,55,65,45,50,35,45,40,35
840696,Catholic,70,85,60,60,60,60,50,60
843156,Catholic,30,35,35,30,30,45,35,35
733040,Catholic,20,25,20,25,20,30,35,25
852902,Catholic,20,20,25,15,20,15,20,15
854980,Catholic,45,45,40,35,30,30,10,10
858960,Catholic,60,40,50,50,40,60,35,40
851764,Catholic,65,60,55,60,35,70,50,45
2801,Public,40,35,30,30,25,25,40,35
9008,Public,25,20,30,55,50,45,65,80
14052,Public,40,30,30,35,30,25,20,30
20036,Public,30,30,25,25,20,20,30,25
36609,Public,30,25,25,40,30,35,35,30
38083,Public,20,20,20,20,25,10,20,20
38164,Public,30,30,30,35,35,20,25,20
42269,Public,40,40,45,50,35,40,35,35
637517,Public,35,45,50,60,55,60,55,70
33880,Public,25,20,25,25,25,25,30,15
33952,Public,40,50,45,50,50,55,50,55
179554,Public,70,70,65,75,65,70,90,80
72907,Public,30,30,30,25,30,30,35,30
73547,Public,80,65,55,65,65,50,60,65
82686,Public,75,80,60,75,80,70,75,70
97110,Public,70,70,70,80,65,70,70,75
94587,Public,30,40,25,20,25,30,35,30
619779,Public,60,55,85,85,95,85,105,90
22128,Public,100,70,80,70,80,75,75,55
443638,Public,20,20,15,20,10,10,20,15
117463,Public,20,20,25,30,25,10,30,20
116840,Public,80,45,40,55,65,50,65,45
124222,Public,25,25,25,45,35,35,40,45
501023,Public,595,610,660,655,685,690,600,455
170662,Public,55,40,65,50,60,40,55,60
147109,Public,35,40,25,40,30,40,25,20
147885,Public,20,30,30,25,25,30,25,30
147915,Public,15,20,15,15,10,20,15,15
148148,Public,50,35,40,45,50,45,45,50
5215,Public,15,20,15,10,25,25,15,25
165514,Public,55,40,55,65,80,50,50,50
156078,Public,40,35,30,25,35,40,30,30
493031,Public,40,35,35,45,35,35,35,40
639900,Public,35,50,35,40,45,35,45,45
192210,Public,30,25,20,15,15,15,20,20
193119,Public,40,50,50,60,55,55,50,65
531551,Public,45,55,45,50,45,35,45,45
206253,Public,60,50,65,60,45,65,55,55
210277,Public,50,50,55,45,55,60,50,55
213829,Public,45,55,55,55,55,50,60,60
218103,Public,40,25,30,25,30,25,35,35
219908,Public,20,20,25,20,20,25,30,30
567787,Public,20,25,20,20,20,20,25,20
221805,Public,45,35,35,50,35,45,45,30
477435,Public,20,20,20,25,10,15,0,0
244791,Public,30,25,15,25,40,25,40,30
231533,Public,40,60,65,45,70,55,55,75
259160,Public,10,15,10,10,20,10,15,10
280844,Public,25,20,25,50,60,40,75,50
559271,Public,75,90,70,85,105,95,70,80
283495,Public,80,75,55,65,65,85,70,75
286095,Public,45,45,45,50,50,50,50,55
446033,Public,70,70,65,80,65,90,80,100
124745,Public,40,40,35,40,45,25,45,35
304379,Public,30,15,30,20,20,30,30,20
99872,Public,30,35,25,20,30,30,25,25
311707,Public,25,30,25,40,25,30,35,30
313050,Public,35,30,40,30,35,35,40,45
312983,Public,25,25,15,30,25,25,25,30
321176,Public,20,15,15,15,15,15,15,15
328740,Public,70,85,65,80,65,65,65,65
348503,Public,30,15,20,25,15,20,15,10
350508,Public,45,50,40,35,50,50,50,50
356271,Public,35,30,30,25,45,40,40,40
580847,Public,45,50,45,55,55,45,45,55
450298,Public,30,45,50,45,65,65,80,70
493816,Public,65,65,75,65,70,50,75,65
394819,Public,35,45,20,45,45,50,55,50
425630,Public,45,60,40,45,60,50,45,50
443573,Public,55,65,60,70,70,60,80,65
477303,Public,30,25,30,25,35,30,25,30
458830,Public,55,45,45,65,70,60,70,60
461423,Public,30,35,35,35,40,35,40,45
463396,Public,45,50,40,45,45,40,35,40
451177,Public,65,50,60,70,60,75,65,65
336001,Public,25,45,30,35,45,40,50,50
489336,Public,25,15,20,15,20,10,20,30
201258,Public,30,35,30,40,40,50,55,55
490563,Public,15,20,20,20,20,20,15,15
455037,Public,25,20,25,30,30,25,30,10
509736,Public,35,35,40,35,50,40,80,85
503720,Public,25,30,35,35,25,40,35,30
197235,Public,45,65,50,60,45,65,60,50
531049,Public,35,35,55,45,50,45,40,35
515523,Public,35,30,35,40,35,35,35,35
520225,Public,35,35,45,35,50,45,50,55
622044,Public,40,30,35,40,30,55,40,50
526673,Public,80,80,75,60,80,60,85,65
536512,Public,40,35,45,45,35,40,50,50
542148,Public,45,40,35,40,40,40,20,30
543861,Public,50,60,55,65,35,60,40,45
551066,Public,35,30,30,25,35,30,40,30
96270,Public,15,15,20,15,15,15,15,10
566870,Public,40,35,35,30,25,30,30,40
569933,Public,55,55,50,50,60,65,75,60
569216,Public,20,30,40,25,30,20,30,30
570389,Public,25,30,25,25,30,25,30,30
577049,Public,35,35,30,20,35,35,30,25
92886,Public,55,50,55,65,65,65,45,75
577669,Public,50,45,45,50,55,55,50,55
309061,Public,65,60,55,50,70,60,60,60
93700,Public,60,50,50,60,55,55,50,65
590916,Public,30,35,40,25,35,40,35,30
325635,Public,50,45,50,40,45,45,45,45
598909,Public,30,35,45,35,40,40,25,45
595535,Public,30,30,20,40,35,30,25,30
171101,Public,50,60,70,55,65,70,75,60
610704,Public,45,45,40,65,55,70,80,65
525960,Public,35,50,50,55,50,60,65,70
536150,Public,25,25,25,20,30,35,20,20
614904,Public,45,45,55,55,75,65,65,50
617440,Public,20,35,30,35,25,25,30,40
438276,Public,50,50,55,80,60,80,75,80
4758,Public,45,45,45,30,25,55,40,35
31739,Public,45,45,35,40,45,35,40,25
41807,Public,15,20,20,20,15,15,20,25
521116,Public,20,20,20,15,25,15,20,20
403466,Public,15,15,20,20,25,20,15,30
34339,Public,25,25,30,30,35,30,35,25
62006,Public,40,35,25,25,25,35,35,30
70254,Public,45,40,40,60,55,30,20,45
75604,Public,55,50,65,30,35,40,25,35
89966,Public,25,20,30,25,25,30,30,30
90077,Public,20,15,15,55,65,60,15,20
90816,Public,25,20,20,20,15,15,15,20
468064,Public,70,45,55,60,60,65,65,70
192880,Public,45,50,55,45,55,50,50,55
126306,Public,15,20,20,20,20,20,15,25
136441,Public,35,45,30,40,40,40,35,45
151130,Public,30,20,15,25,40,35,40,40
558113,Public,10,15,15,20,10,15,25,10
170372,Public,40,45,40,35,15,20,20,25
220035,Public,20,20,55,15,20,15,20,15
226017,Public,40,45,15,10,15,15,0,0
227056,Public,15,15,15,10,15,20,85,85
229393,Public,25,30,20,20,25,20,20,40
233706,Public,20,35,25,25,25,35,20,30
265608,Public,25,20,30,25,35,25,20,30
280097,Public,35,30,30,40,30,45,30,35
281263,Public,30,20,25,30,25,30,40,35
282308,Public,35,35,35,35,35,45,30,35
295434,Public,30,25,25,20,20,25,35,30
145602,Public,70,50,50,55,60,65,55,50
97314,Public,20,15,15,20,25,20,25,20
308170,Public,30,30,30,25,30,20,30,30
326259,Public,35,45,50,35,55,40,55,35
329100,Public,30,35,35,30,25,30,30,25
132010,Public,35,30,40,40,40,45,40,40
378372,Public,20,30,30,30,25,25,25,20
410225,Public,40,45,40,40,40,40,40,55
502324,Public,25,20,20,20,20,25,15,15
417505,Public,25,20,25,20,25,30,25,25
97446,Public,30,30,30,20,20,15,25,15
97578,Public,15,20,15,20,15,40,40,30
451304,Public,20,15,25,15,30,25,25,30
452866,Public,20,20,10,25,20,25,25,15
456764,Public,25,10,20,20,25,25,20,25
469505,Public,30,25,20,20,25,30,30,20
485306,Public,40,55,50,70,80,65,80,75
494208,Public,20,20,20,25,25,30,35,40
412984,Public,75,80,85,80,85,70,85,70
505510,Public,20,20,15,15,15,10,20,15
521760,Public,40,35,50,45,40,35,45,35
403725,Public,30,20,20,15,20,25,25,15
153931,Public,50,50,60,45,45,55,45,50
584037,Public,25,25,30,25,35,20,25,30
586110,Public,40,30,40,40,50,40,35,55
176049,Public,60,65,60,65,55,65,70,75
1899,Public,55,50,35,50,30,40,30,45
596647,Public,25,30,25,30,20,20,20,30
215321,Public,45,40,45,25,40,30,50,40
1104,Public,25,30,35,40,45,40,80,85
18660,Public,40,40,40,50,35,40,40,40
19054,Public,55,50,50,55,55,55,60,55
41297,Public,75,65,75,70,75,85,90,95
41947,Public,60,60,105,85,85,85,75,85
98094,Public,15,25,20,15,20,15,20,25
95885,Public,40,45,15,25,25,20,35,25
91073,Public,35,30,30,20,30,25,25,30
123838,Public,25,20,30,30,20,30,20,15
131245,Public,30,45,40,40,35,45,0,0
134880,Public,25,20,15,20,30,30,20,20
142948,Public,25,30,20,35,25,35,35,35
590984,Public,45,45,45,45,45,55,55,40
362379,Public,20,25,20,25,20,30,30,30
164690,Public,20,25,25,25,25,20,35,30
334012,Public,45,55,50,60,70,65,55,75
222119,Public,40,30,50,45,45,50,45,50
201391,Public,50,65,65,60,65,70,55,50
203009,Public,35,40,60,45,50,55,40,50
255311,Public,100,115,125,160,125,125,145,125
211192,Public,35,40,30,35,30,30,30,35
34361,Public,55,45,40,45,50,35,40,30
220817,Public,15,45,40,45,45,40,35,45
222240,Public,35,25,30,25,15,30,20,30
91464,Public,35,45,45,40,60,45,50,55
245658,Public,35,45,25,45,40,45,40,45
268267,Public,45,30,20,30,25,30,30,30
279315,Public,20,25,25,30,30,30,35,25
91596,Public,50,40,50,70,50,75,50,65
283347,Public,30,30,35,35,35,35,30,35
294659,Public,35,35,25,35,30,30,45,35
300500,Public,45,50,45,40,40,50,25,50
308897,Public,45,60,45,65,60,60,60,70
551941,Public,70,85,85,85,90,110,125,115
452734,Public,45,45,50,55,45,55,45,50
327026,Public,30,30,35,35,40,35,45,40
331180,Public,25,30,25,25,30,30,30,30
338206,Public,30,30,25,25,25,30,25,40
343536,Public,65,40,45,55,35,40,45,45
376035,Public,20,25,20,20,35,25,30,30
411787,Public,65,80,85,85,90,95,120,115
435872,Public,35,20,35,30,20,30,30,30
439088,Public,10,10,10,0,10,10,10,0
454168,Public,45,55,50,55,65,55,65,60
457280,Public,30,30,30,30,20,20,25,15
462098,Public,35,50,35,45,55,55,45,60
574155,Public,45,40,45,45,40,40,55,50
491217,Public,40,50,40,60,50,45,65,60
491764,Public,20,20,25,15,30,10,20,25
498513,Public,50,45,55,60,70,75,75,85
526703,Public,20,30,35,40,40,40,50,60
243524,Public,65,80,70,95,75,100,100,105
539427,Public,65,60,70,75,75,90,125,105
440256,Public,65,50,35,50,45,35,25,25
147362,Public,70,70,60,55,65,60,70,55
607541,Public,30,30,30,40,35,30,35,35
687286,Catholic,30,35,35,35,25,25,25,25
693987,Catholic,30,40,30,40,45,50,25,40
846774,Catholic,75,115,95,95,120,105,105,85
708160,Catholic,60,70,80,90,90,90,90,95
714712,Catholic,40,20,35,50,45,40,40,45
716936,Catholic,25,15,20,20,15,20,25,20
718483,Catholic,30,40,40,45,35,35,45,45
719005,Catholic,45,40,40,50,65,55,80,60
687394,Catholic,70,70,65,75,75,85,80,55
737147,Catholic,45,45,60,60,80,100,100,75
749052,Catholic,40,35,35,50,45,50,45,40
734373,Catholic,30,20,25,25,40,40,25,35
810355,Catholic,75,85,110,85,105,90,80,80
758280,Catholic,75,70,70,55,65,50,75,45
768936,Catholic,60,55,60,65,80,95,85,100
772647,Catholic,70,85,70,90,80,70,75,65
683661,Catholic,65,70,90,90,90,100,90,85
681054,Catholic,70,80,65,90,105,80,95,95
777650,Catholic,25,20,35,35,30,50,40,60
780871,Catholic,65,65,70,105,85,90,100,100
781436,Catholic,85,100,100,60,55,75,75,95
838178,Catholic,25,30,25,40,50,40,45,35
786861,Catholic,55,70,65,65,75,60,55,55
789232,Catholic,40,35,40,40,40,40,35,45
792039,Catholic,30,35,40,30,30,30,40,30
793884,Catholic,55,55,60,40,65,60,55,55
755052,Catholic,70,60,50,85,50,40,45,55
801283,Catholic,20,35,40,30,50,50,45,45
804410,Catholic,30,30,30,30,25,25,35,35
680039,Catholic,25,35,40,45,45,65,65,75
809144,Catholic,30,30,35,30,20,40,35,40
820679,Catholic,15,10,20,20,20,20,20,25
821241,Catholic,55,25,25,40,45,50,55,60
823058,Catholic,40,45,50,35,40,30,35,30
681423,Catholic,75,100,85,70,85,95,95,90
823180,Catholic,40,35,50,40,35,35,55,65
834319,Catholic,20,25,25,20,25,25,30,25
798827,Catholic,55,45,65,40,60,65,55,70
839442,Catholic,20,35,30,30,40,25,20,35
840912,Catholic,30,45,40,35,30,30,35,35
843989,Catholic,75,60,50,60,50,70,55,85
848484,Catholic,35,35,40,45,40,35,35,40
794978,Catholic,115,135,95,55,40,45,45,35
729159,Catholic,35,20,40,30,30,35,45,30
856630,Catholic,45,50,65,55,65,45,70,50
858889,Catholic,15,10,10,15,20,15,25,30
779,Public,30,50,15,25,30,20,30,40
492381,Public,0,0,0,0,0,0,75,120
6777,Public,0,0,0,0,0,0,110,105
33680,Public,40,45,45,65,50,55,70,60
344051,Public,110,90,110,140,105,130,115,115
251664,Public,90,140,115,125,135,125,135,110
124887,Public,145,115,120,135,120,105,120,110
59501,Public,25,15,25,15,25,45,65,60
66249,Public,20,35,20,30,25,30,35,35
66761,Public,40,25,40,40,45,25,45,35
58360,Public,40,45,40,30,40,30,0,0
586248,Public,135,100,110,100,105,125,130,120
70777,Public,0,0,0,0,0,0,110,105
411795,Public,50,50,45,40,55,45,55,50
85898,Public,75,60,80,90,70,80,100,85
90140,Public,0,0,0,0,0,105,110,160
94455,Public,45,45,30,45,45,40,0,0
77046,Public,30,45,60,55,85,75,110,90
76970,Public,100,85,95,75,120,80,100,85
111090,Public,35,50,55,50,50,50,0,0
147281,Public,40,15,25,25,20,0,0,0
179950,Public,85,125,145,100,115,100,125,65
156469,Public,0,65,60,60,45,80,55,60
169110,Public,45,55,50,45,45,0,0,0
164267,Public,40,30,30,35,30,40,95,120
206470,Public,85,45,90,65,75,75,90,95
121112,Public,105,95,120,120,120,95,125,120
180123,Public,55,60,65,60,65,85,75,95
193046,Public,40,30,30,35,40,80,75,85
194263,Public,70,50,60,60,80,45,70,65
474578,Public,0,105,65,70,70,55,70,75
206474,Public,50,35,40,25,50,30,115,105
212369,Public,30,70,60,45,60,0,0,0
216267,Public,40,40,45,55,40,45,0,0
