School Number,School Type,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment
913340,Public,255,230,245,270
914070,Public,365,340,320,355
917931,Public,340,315,430,415
918555,Public,250,240,220,395
920495,Public,400,395,390,465
936480,Public,255,270,240,325
926359,Public,0,10,10,15
942006,Public,425,405,430,480
943894,Public,170,170,160,160
950912,Public,285,280,280,515
951048,Public,360,325,300,395
689661,Catholic,170,170,170,195
745529,Catholic,150,135,150,225
798690,Catholic,245,225,220,235
858892,Catholic,10,10,10,65
688363,Catholic,160,175,155,115
694452,Catholic,140,150,120,145
700088,Catholic,145,120,155,185
706523,Catholic,155,160,175,150
715824,Catholic,310,320,285,325
771520,Catholic,265,295,315,280
736163,Catholic,305,320,340,310
864170,Catholic,310,320,300,295
718018,Catholic,10,10,0,550
728632,Catholic,365,335,340,315
849901,Catholic,390,250,315,295
706809,Catholic,300,270,290,260
720488,Catholic,280,315,215,255
874888,Catholic,245,255,275,245
748528,Catholic,75,75,65,55
756709,Catholic,280,310,280,270
765708,Catholic,345,335,330,325
691356,Catholic,380,375,350,315
788112,Catholic,260,295,325,380
799912,Catholic,390,435,405,395
801259,Catholic,210,235,310,325
820733,Catholic,0,0,10,25
811780,Catholic,265,355,275,295
849626,Catholic,425,410,395,450
852546,Catholic,410,410,375,380
890286,Public,0,0,10,10
904040,Public,365,345,350,390
892998,Public,225,220,220,395
893978,Public,485,410,410,460
939585,Public,445,415,350,355
890202,Public,480,395,385,350
933346,Public,380,345,395,435
905020,Public,345,320,330,355
904970,Public,240,185,200,255
908819,Public,250,215,305,400
949230,Public,235,250,225,320
917893,Public,280,255,255,370
919233,Public,190,210,230,250
919586,Public,245,255,220,260
921661,Public,80,90,125,155
951714,Public,375,360,390,350
924911,Public,290,330,310,385
924849,Public,385,360,325,400
926140,Public,300,275,355,355
926817,Public,330,305,275,335
928682,Public,380,380,340,370
894672,Public,425,395,410,505
964809,Public,280,285,265,370
938106,Public,360,385,380,460
942340,Public,270,315,330,345
945508,Public,425,440,435,445
945455,Public,265,265,260,335
946362,Public,110,110,105,125
947792,Public,165,190,220,245
947814,Public,265,210,240,355
898285,Public,400,375,405,450
949140,Public,455,435,385,445
952516,Public,290,240,265,330
954292,Public,125,120,130,120
