School Number,Year,School Type,School Level,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment
155683,2021-2022,Public,Elementary,25,35,45,25,40,40,30,40,0,0,0,0
529826,2021-2022,Public,Elementary,10,10,10,0,0,0,0,0,0,0,0,0
540200,2021-2022,Public,Elementary,15,20,10,10,15,15,10,20,0,0,0,0
950262,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,110,95,90,120
569565,2021-2022,Public,Elementary,45,35,35,45,45,45,45,40,0,0,0,0
688088,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,415,395,360,455
690015,2021-2022,Catholic,Elementary,25,25,25,30,20,20,20,25,0,0,0,0
769930,2021-2022,Catholic,Elementary,15,15,15,20,15,30,20,15,0,0,0,0
772058,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,10,30,25,40
696900,2021-2022,Catholic,Elementary,20,25,20,25,20,30,20,10,0,0,0,0
714453,2021-2022,Catholic,Elementary,25,25,15,20,20,25,20,25,0,0,0,0
716960,2021-2022,Catholic,Elementary,30,20,15,20,15,15,20,15,0,0,0,0
720232,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,240,250,245,290
750259,2021-2022,Catholic,Elementary,40,30,35,30,30,30,40,25,0,0,0,0
736481,2021-2022,Catholic,Elementary,35,35,40,20,25,25,25,20,0,0,0,0
739200,2021-2022,Catholic,Elementary,30,40,20,30,40,25,45,35,0,0,0,0
743968,2021-2022,Catholic,Elementary,10,10,10,10,10,10,10,10,0,0,0,0
749125,2021-2022,Catholic,Elementary,25,15,25,30,35,30,35,35,0,0,0,0
753084,2021-2022,Catholic,Elementary,10,15,15,15,10,15,15,10,0,0,0,0
762756,2021-2022,Catholic,Elementary,50,55,45,50,45,35,35,40,0,0,0,0
759309,2021-2022,Catholic,Elementary,15,15,15,20,10,20,15,20,0,0,0,0
751898,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,285,285,245,270
704940,2021-2022,Catholic,Elementary,65,45,55,60,60,50,60,55,0,0,0,0
779067,2021-2022,Catholic,Elementary,20,30,25,20,35,25,25,25,0,0,0,0
782050,2021-2022,Catholic,Elementary,15,10,10,10,10,10,15,20,0,0,0,0
789984,2021-2022,Catholic,Elementary,20,40,30,35,30,30,25,30,0,0,0,0
793256,2021-2022,Catholic,Elementary,25,30,35,45,45,35,50,55,0,0,0,0
810827,2021-2022,Catholic,Elementary,55,60,70,60,50,45,45,60,0,0,0,0
818453,2021-2022,Catholic,Elementary,35,35,45,40,30,40,20,35,0,0,0,0
852434,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,10,20,20,75
831450,2021-2022,Catholic,Elementary,20,20,15,15,15,15,10,15,0,0,0,0
834831,2021-2022,Catholic,Elementary,10,10,10,10,10,10,10,10,0,0,0,0
834963,2021-2022,Catholic,Elementary,20,25,25,30,20,25,30,20,0,0,0,0
840530,2021-2022,Catholic,Elementary,10,15,15,15,15,10,10,15,0,0,0,0
840556,2021-2022,Catholic,Elementary,25,25,25,25,25,25,20,30,0,0,0,0
844977,2021-2022,Catholic,Elementary,15,20,15,20,20,20,15,20,0,0,0,0
846791,2021-2022,Catholic,Elementary,20,25,30,25,20,30,35,30,0,0,0,0
850950,2021-2022,Catholic,Elementary,20,15,10,20,15,20,10,15,0,0,0,0
853038,2021-2022,Catholic,Elementary,15,15,20,20,20,20,15,15,0,0,0,0
721255,2021-2022,Catholic,Elementary,45,35,35,30,30,25,30,30,0,0,0,0
711985,2021-2022,Catholic,Elementary,35,40,30,20,30,35,35,30,0,0,0,0
710296,2021-2022,Catholic,Elementary,10,10,10,15,10,15,10,10,0,0,0,0
737399,2021-2022,Catholic,Elementary,0,0,90,90,110,95,100,100,0,0,0,0
759430,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,170,135,170,210
732133,2021-2022,Catholic,Elementary,15,15,10,10,15,15,15,10,0,0,0,0
864218,2021-2022,Catholic,Elementary,10,10,10,10,10,10,10,20,0,0,0,0
774332,2021-2022,Catholic,Elementary,45,65,50,45,45,45,50,40,0,0,0,0
776602,2021-2022,Catholic,Elementary,90,100,0,0,0,0,0,0,0,0,0,0
751464,2021-2022,Catholic,Elementary,35,30,20,15,35,10,30,15,0,0,0,0
776599,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,235,205,220,355
705098,2021-2022,Catholic,Elementary,10,20,15,10,15,15,10,15,0,0,0,0
732800,2021-2022,Catholic,Elementary,25,45,30,35,30,20,25,20,0,0,0,0
689610,2021-2022,Catholic,Elementary,55,45,55,40,50,35,0,0,0,0,0,0
725542,2021-2022,Catholic,Elementary,0,10,0,10,0,0,0,0,0,0,0,0
715131,2021-2022,Catholic,Elementary,60,85,60,65,80,75,0,0,0,0,0,0
828203,2021-2022,Catholic,Elementary,35,45,50,40,40,40,25,25,0,0,0,0
821553,2021-2022,Catholic,Elementary,0,0,0,0,0,0,100,90,0,0,0,0
715190,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,110,95,125,135
696269,2021-2022,Catholic,Elementary,25,25,20,25,15,15,20,20,0,0,0,0
691127,2021-2022,Catholic,Elementary,25,25,20,15,15,20,0,0,0,0,0,0
753670,2021-2022,Catholic,Elementary,65,60,55,60,55,55,0,0,0,0,0,0
736457,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,125,105,115,155
697630,2021-2022,Catholic,Elementary,0,0,0,0,0,0,120,125,0,0,0,0
741361,2021-2022,Catholic,Elementary,35,25,20,25,20,25,25,10,0,0,0,0
750646,2021-2022,Catholic,Elementary,35,30,20,35,25,30,0,0,0,0,0,0
759040,2021-2022,Catholic,Elementary,55,45,45,40,50,55,0,0,0,0,0,0
758787,2021-2022,Catholic,Elementary,10,10,10,10,10,15,10,10,0,0,0,0
769312,2021-2022,Catholic,Elementary,20,20,20,25,15,20,25,20,0,0,0,0
771651,2021-2022,Catholic,Elementary,35,25,30,30,30,40,0,0,0,0,0,0
788686,2021-2022,Catholic,Elementary,10,10,10,10,10,10,10,10,0,0,0,0
806102,2021-2022,Catholic,Elementary,15,15,15,15,20,20,10,10,0,0,0,0
751502,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,65,60,55,60
792365,2021-2022,Catholic,Elementary,0,0,0,0,0,0,65,65,0,0,0,0
792322,2021-2022,Catholic,Elementary,10,15,10,15,15,20,0,0,0,0,0,0
791938,2021-2022,Catholic,Elementary,65,55,65,50,40,40,0,0,0,0,0,0
803022,2021-2022,Catholic,Elementary,30,35,30,45,40,35,0,0,0,0,0,0
804800,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,95,85,70,90
802700,2021-2022,Catholic,Elementary,40,45,45,45,40,50,0,0,0,0,0,0
806277,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,170,210,170,185
725374,2021-2022,Catholic,Elementary,20,20,25,20,20,25,15,15,0,0,0,0
813907,2021-2022,Catholic,Elementary,30,30,35,35,25,40,25,35,0,0,0,0
736201,2021-2022,Catholic,Elementary,25,15,30,35,30,25,35,25,0,0,0,0
824593,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,105,110,135,125
828726,2021-2022,Catholic,Elementary,0,0,0,0,0,0,80,65,0,0,0,0
828980,2021-2022,Catholic,Elementary,35,25,20,30,25,20,0,0,0,0,0,0
828874,2021-2022,Catholic,Elementary,0,0,0,70,105,100,0,0,0,0,0,0
830283,2021-2022,Catholic,Elementary,25,20,25,30,25,40,25,20,0,0,0,0
726176,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,35,25,20,40
832502,2021-2022,Catholic,Elementary,0,0,0,0,0,0,105,115,0,0,0,0
832480,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,125,130,125,110
753602,2021-2022,Catholic,Elementary,35,35,40,35,30,50,0,0,0,0,0,0
844713,2021-2022,Catholic,Elementary,20,25,30,30,30,25,0,0,0,0,0,0
773450,2021-2022,Catholic,Elementary,105,75,110,0,0,0,0,0,0,0,0,0
745698,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,0,10,10,10
680764,2021-2022,Catholic,Elementary,0,0,0,0,0,0,75,90,0,0,0,0
767431,2021-2022,Catholic,Elementary,0,0,0,0,0,0,130,110,0,0,0,0
803065,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,25,25,15,20
818968,2021-2022,Catholic,Elementary,0,0,0,0,0,0,10,20,0,0,0,0
814555,2021-2022,Catholic,Elementary,45,35,50,40,35,30,35,25,0,0,0,0
765428,2021-2022,Catholic,Elementary,0,0,0,0,0,0,25,20,0,0,0,0
733067,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,130,115,140,120
773026,2021-2022,Catholic,Elementary,0,0,0,0,0,0,110,145,0,0,0,0
23549,2021-2022,Public,Elementary,40,20,20,15,20,20,0,0,0,0,0,0
199761,2021-2022,Public,Elementary,10,15,10,15,10,20,0,0,0,0,0,0
165468,2021-2022,Public,Elementary,20,15,15,15,25,25,0,0,0,0,0,0
165409,2021-2022,Public,Elementary,25,40,25,35,40,45,0,0,0,0,0,0
918997,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,50,60,40,50
117382,2021-2022,Public,Elementary,0,0,0,0,0,0,85,80,0,0,0,0
165204,2021-2022,Public,Elementary,0,0,0,0,0,0,30,35,0,0,0,0
310415,2021-2022,Public,Elementary,0,0,0,0,0,0,75,70,0,0,0,0
922089,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,40,15,0,0
909858,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,10,15,10,10
907553,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,30,15,25,15
910554,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,65,70,55,55
914723,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,45,35,25,40
907308,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,30,35,30,20
907642,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,100,110,110,110
934852,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,25,25,25,25
896889,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,35,25,20,25
925326,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,55,40,50,30
901037,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,50,50,40,55
952803,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,55,55,45,40
961008,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,35,40,30,35
907588,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,60,50,65,65
156167,2021-2022,Public,Elementary,25,45,20,20,30,25,10,10,0,0,0,0
165441,2021-2022,Public,Elementary,60,45,40,35,35,85,0,0,0,0,0,0
393396,2021-2022,Public,Elementary,10,15,25,10,10,10,0,0,0,0,0,0
447621,2021-2022,Public,Elementary,50,55,80,45,50,40,0,0,0,0,0,0
474256,2021-2022,Public,Elementary,0,0,0,0,0,0,50,25,0,0,0,0
342322,2021-2022,Public,Elementary,20,15,15,15,10,15,0,0,0,0,0,0
532816,2021-2022,Public,Elementary,0,0,0,0,0,0,10,20,0,0,0,0
4367,2021-2022,Public,Elementary,15,10,10,10,10,10,0,0,0,0,0,0
194069,2021-2022,Public,Elementary,25,20,10,15,40,20,0,0,0,0,0,0
165212,2021-2022,Public,Elementary,0,0,0,0,0,0,115,85,0,0,0,0
497134,2021-2022,Public,Elementary,40,30,30,35,25,20,0,0,0,0,0,0
572312,2021-2022,Public,Elementary,0,0,0,0,0,0,70,60,0,0,0,0
156264,2021-2022,Public,Elementary,0,0,0,0,0,0,25,30,0,0,0,0
165417,2021-2022,Public,Elementary,30,25,25,20,20,30,0,0,0,0,0,0
