NAME,SDSB_ID,DISTRICT,TYPE,LANGUAGE,STREET,CITY,POSTAL_COD,PHONE,FAX,WEBSITE,DSB_NUMBER,X_COORD,Y_COORD,BOARD_NAME,BOARD_NUM,Shape_Leng,Shape_Area
Conseil scolaire catholique Providence,63,West,Catholic,French,7515 Promenade Forest Glade,Tecumseh,N8T3P5,5199489227,5199481091,,67300.00000000000,-81.43295000000,43.42075000000,Conseil scolaire catholique Providence,B67300,23.57680064870,3.22192393569
CSD catholique de l'Est ontarien,65,East,Catholic,French,"875, chemin de comte 17",L'Original,K0B1K0,6136754691,6136752921,http://www.csdceo.on.ca,67326.00000000000,-74.95055000000,45.26477000000,Conseil scolaire de district catholique de l'Est ontarien,B67326,6.40114183886,0.61219411949
CS catholique MonAvenir,64,Toronto,Catholic,French,"110, avenue Drewry",Toronto,M2M1C8,4163976564,4163976576,http://www.csdccs.edu.on.ca,67318.00000000000,-79.43545000000,44.12166000000,Conseil scolaire catholique MonAvenir,B67318,38.26916243010,4.54961687320
CSD catholique du Centre-Est de l'Ontario,66,East,Catholic,French,"4000, rue Labelle",Gloucester,K1J1A1,6137442555,6137463081,http://csdb66.edu.on.ca,67334.00000000000,-76.92885000000,45.00348000000,Conseil scolaire de district catholique du Centre-Est de l'Ontario,B67334,27.61595585620,3.83748873139
CSD catholique des Aurores bor??ales,62,North,Catholic,French,"175, rue High Nord",Thunder Bay,P7A8C7,8073442266,8073443734,,29130.00000000000,-89.67542000000,49.04549000000,Conseil scolaire de district catholique des Aurores bor??ales,B29130,66.72921800590,4.76439766949
CSD catholique du Nouvel-Ontario,61,North,Catholic,French,"201, rue Jogues",Sudbury,P3C5L7,7056735626,7056691270,http://www.nouvelon.edu.on.ca,29122.00000000000,-82.20452000000,46.67746000000,Conseil scolaire de district catholique du Nouvel-Ontario,B29122,46.09212915220,2.26606032677
CSD catholique des Grandes Rivi?¿res,60A,North,Catholic,French,"896, promenade Riverside",Timmins,P4N3W2,7052671421,7052677247,http://www.cscdgr.on.ca,29106.00000000000,-81.05217000000,48.44141000000,Conseil scolaire de district catholique des Grandes Rivi?¿res,B29106,25.93211246010,3.09925505917
CSD catholique Franco-Nord,60B,North,Catholic,French,"681-C, rue Chippewa ouest",North Bay,P1B 6G8,7054721702,7054729398,http://www.franco-nord.edu.on.ca,29114.00000000000,-79.43953000000,46.14360000000,Conseil scolaire de district catholique Franco-Nord,B29114,10.22646899590,1.30321174841
