Board Number,Board Name,Board Type,Municipality,Board Website
B29033,Sudbury CDSB,Cath Dist Sch Brd (E/F),Greater Sudbury,http://www.scdsb.edu.on.ca
B29076,Superior North CDSB,Cath Dist Sch Brd (E/F),Schreiber,http://www.sncdsb.on.ca
B28070,Superior-Greenstone DSB,Pub Dist Sch Brd (E/F),Greenstone,http://www.sgdsb.on.ca
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),London,http://www.tvdsb.on.ca
B29068,Thunder Bay CDSB,Cath Dist Sch Brd (E/F),Thunder Bay,http://www.tbcschools.ca
B67059,Toronto CDSB,Cath Dist Sch Brd (E/F),Toronto,http://www.tcdsb.org
B66052,Toronto DSB,Pub Dist Sch Brd (E/F),Toronto,http://www.tdsb.on.ca
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),Kawartha Lakes,http://www.tldsb.ca
B66192,Upper Canada DSB,Pub Dist Sch Brd (E/F),Mississippi Mills,http://www.ucdsb.on.ca
B66117,Upper Grand DSB,Pub Dist Sch Brd (E/F),Puslinch,https://www.ugdsb.ca
B67148,Waterloo CDSB,Cath Dist Sch Brd (E/F),Kitchener,http://www.wcdsb.ca
B66176,Waterloo Region DSB,Pub Dist Sch Brd (E/F),Waterloo,www.wrdsb.on.ca
B67130,Wellington CDSB,Cath Dist Sch Brd (E/F),Guelph,www.wellingtoncdsb.ca
B67024,Windsor-Essex CDSB,Cath Dist Sch Brd (E/F),Windsor,http://www.wecdsb.on.ca
B67075,York CDSB,Cath Dist Sch Brd (E/F),Markham,http://www.ycdsb.ca
B66095,York Region DSB,Pub Dist Sch Brd (E/F),Richmond Hill,http://www.yrdsb.ca
