School Number,Year,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment
105627,2025,0,0,0,0,0,0,176,269,0,0,0,0
105627,2026,0,0,0,0,0,0,242,400,0,0,0,0
105678,2022,40,65,46,59,68,33,56,45,0,0,0,0
105678,2023,40,77,47,71,85,31,57,46,0,0,0,0
105678,2024,40,92,49,86,107,30,58,47,0,0,0,0
105678,2025,41,109,50,103,134,28,59,48,0,0,0,0
105678,2026,41,129,52,123,167,27,60,49,0,0,0,0
105694,2022,24,7,14,5,23,0,0,0,0,0,0,0
105694,2023,28,5,13,2,22,0,0,0,0,0,0,0
105694,2024,34,4,12,1,22,0,0,0,0,0,0,0
105694,2025,41,3,12,0,21,0,0,0,0,0,0,0
105694,2026,49,2,11,0,20,0,0,0,0,0,0,0
105767,2022,12,24,33,20,16,22,30,39,0,0,0,0
105767,2023,9,30,44,21,13,21,31,50,0,0,0,0
105767,2024,7,37,59,22,11,19,31,66,0,0,0,0
105767,2025,6,46,79,23,9,17,32,86,0,0,0,0
105767,2026,4,57,105,24,8,16,32,112,0,0,0,0
106151,2022,49,65,62,70,70,0,0,0,0,0,0,0
106151,2023,43,70,65,65,65,0,0,0,0,0,0,0
106151,2024,39,76,67,61,61,0,0,0,0,0,0,0
106151,2025,34,82,70,58,58,0,0,0,0,0,0,0
106151,2026,31,89,73,54,54,0,0,0,0,0,0,0
106178,2022,70,16,25,16,70,36,0,0,0,0,0,0
106178,2023,140,17,31,17,140,52,0,0,0,0,0,0
106178,2024,280,19,39,19,280,76,0,0,0,0,0,0
106178,2025,560,20,48,20,560,110,0,0,0,0,0,0
106178,2026,1120,22,61,22,1120,160,0,0,0,0,0,0
106283,2022,33,25,33,20,28,20,0,0,0,0,0,0
106283,2023,36,25,36,21,31,20,0,0,0,0,0,0
106283,2024,39,25,39,21,35,20,0,0,0,0,0,0
106283,2025,43,25,43,22,40,20,0,0,0,0,0,0
106283,2026,48,25,48,22,45,20,0,0,0,0,0,0
106410,2022,18,39,23,15,15,18,15,7,0,0,0,0
106410,2023,23,62,27,15,15,23,15,5,0,0,0,0
106410,2024,29,99,31,15,15,29,15,3,0,0,0,0
106410,2025,36,157,37,15,15,36,15,2,0,0,0,0
106410,2026,45,248,43,15,15,45,15,1,0,0,0,0
106526,2022,79,59,42,74,35,55,73,75,0,0,0,0
106526,2023,104,65,44,93,32,55,91,93,0,0,0,0
106526,2024,138,70,46,116,28,55,112,117,0,0,0,0
106526,2025,182,76,48,144,25,55,138,146,0,0,0,0
106526,2026,241,83,51,180,22,55,170,183,0,0,0,0
106913,2022,0,0,0,0,0,0,65,46,0,0,0,0
106913,2023,0,0,0,0,0,0,77,42,0,0,0,0
106913,2024,0,0,0,0,0,0,92,39,0,0,0,0
106913,2025,0,0,0,0,0,0,110,36,0,0,0,0
106913,2026,0,0,0,0,0,0,130,34,0,0,0,0
107190,2022,49,49,55,32,31,26,0,0,0,0,0,0
107190,2023,48,48,60,35,32,27,0,0,0,0,0,0
107190,2024,48,48,67,38,33,28,0,0,0,0,0,0
107190,2025,47,47,74,41,34,30,0,0,0,0,0,0
107190,2026,47,47,81,44,35,31,0,0,0,0,0,0
107280,2022,0,0,0,0,170,234,179,240,0,0,0,0
107280,2023,0,0,0,0,166,234,169,241,0,0,0,0
107280,2024,0,0,0,0,162,233,160,242,0,0,0,0
107280,2025,0,0,0,0,158,233,151,243,0,0,0,0
107280,2026,0,0,0,0,154,233,142,244,0,0,0,0
107284,2022,108,74,94,102,68,79,115,112,0,0,0,0
107284,2023,112,65,98,105,58,70,133,114,0,0,0,0
107284,2024,115,57,103,107,49,62,153,117,0,0,0,0
107284,2025,119,50,107,110,42,55,177,119,0,0,0,0
107284,2026,123,44,112,113,36,48,204,121,0,0,0,0
107328,2022,74,36,82,86,66,0,0,0,0,0,0,0
107328,2023,85,30,91,107,74,0,0,0,0,0,0,0
107328,2024,97,24,101,133,82,0,0,0,0,0,0,0
107328,2025,112,20,111,164,92,0,0,0,0,0,0,0
107328,2026,128,16,123,204,102,0,0,0,0,0,0,0
107581,2022,61,56,85,36,68,32,137,51,0,0,0,0
107581,2023,95,78,183,33,93,26,378,86,0,0,0,0
107581,2024,148,109,393,30,127,22,1039,147,0,0,0,0
107581,2025,229,153,843,28,174,18,2859,250,0,0,0,0
107581,2026,355,215,1807,25,239,14,7863,425,0,0,0,0
107719,2022,29,35,31,43,27,37,0,0,0,0,0,0
107719,2023,34,35,32,47,25,41,0,0,0,0,0,0
107719,2024,39,36,33,52,24,44,0,0,0,0,0,0
107719,2025,46,36,35,57,22,48,0,0,0,0,0,0
107719,2026,54,37,36,63,20,52,0,0,0,0,0,0
107735,2022,81,87,65,118,0,0,0,0,0,0,0,0
107735,2023,88,80,61,116,0,0,0,0,0,0,0,0
107735,2024,95,74,57,114,0,0,0,0,0,0,0,0
107735,2025,103,68,54,112,0,0,0,0,0,0,0,0
107735,2026,112,63,50,110,0,0,0,0,0,0,0,0
107778,2022,11,28,31,10,22,19,0,0,0,0,0,0
107778,2023,8,31,32,7,20,15,0,0,0,0,0,0
107778,2024,6,35,33,5,18,12,0,0,0,0,0,0
107778,2025,4,40,34,3,17,9,0,0,0,0,0,0
107778,2026,3,45,35,2,15,7,0,0,0,0,0,0
107808,2022,0,0,0,0,0,0,36,18,0,0,0,0
107808,2023,0,0,0,0,0,0,44,16,0,0,0,0
107808,2024,0,0,0,0,0,0,53,14,0,0,0,0
107808,2025,0,0,0,0,0,0,65,13,0,0,0,0
107808,2026,0,0,0,0,0,0,79,11,0,0,0,0
107948,2022,37,34,11,22,18,0,0,0,0,0,0,0
107948,2023,56,48,8,26,16,0,0,0,0,0,0,0
107948,2024,84,67,6,29,15,0,0,0,0,0,0,0
107948,2025,126,94,4,34,14,0,0,0,0,0,0,0
107948,2026,189,131,3,38,12,0,0,0,0,0,0,0
107972,2022,113,67,48,43,39,159,51,59,0,0,0,0
107972,2023,142,70,46,38,33,266,52,63,0,0,0,0
107972,2024,178,73,44,33,29,446,53,68,0,0,0,0
107972,2025,224,77,43,29,25,748,55,74,0,0,0,0
107972,2026,282,80,41,25,22,1253,56,79,0,0,0,0
108103,2022,62,58,75,68,85,80,65,79,0,0,0,0
108103,2023,60,52,75,63,91,80,57,79,0,0,0,0
108103,2024,58,47,75,57,98,80,50,79,0,0,0,0
108103,2025,56,42,75,52,105,80,43,79,0,0,0,0
108103,2026,54,38,75,48,112,80,38,79,0,0,0,0
108499,2022,10,10,10,10,10,10,10,10,0,0,0,0
108499,2023,10,10,10,10,10,10,10,10,0,0,0,0
108499,2024,10,10,10,10,10,10,10,10,0,0,0,0
108499,2025,10,10,10,10,10,10,10,10,0,0,0,0
108499,2026,10,10,10,10,10,10,10,10,0,0,0,0
108626,2022,70,73,70,47,69,0,0,0,0,0,0,0
108626,2023,66,76,70,41,74,0,0,0,0,0,0,0
108626,2024,62,79,70,35,80,0,0,0,0,0,0,0
108626,2025,58,83,70,31,86,0,0,0,0,0,0,0
108626,2026,55,86,70,26,92,0,0,0,0,0,0,0
108693,2022,64,51,36,42,52,45,115,119,0,0,0,0
108693,2023,75,53,32,40,55,40,110,109,0,0,0,0
108693,2024,88,55,29,38,58,36,106,101,0,0,0,0
108693,2025,104,56,26,36,62,33,102,92,0,0,0,0
108693,2026,122,58,23,34,65,29,98,85,0,0,0,0
109010,2022,34,30,23,34,42,36,0,0,0,0,0,0
109010,2023,39,36,22,39,51,45,0,0,0,0,0,0
109010,2024,45,44,22,45,61,55,0,0,0,0,0,0
109010,2025,52,53,21,52,74,67,0,0,0,0,0,0
109010,2026,60,64,20,60,90,82,0,0,0,0,0,0
109487,2022,60,60,52,50,56,56,121,92,0,0,0,0
109487,2023,60,60,50,51,52,58,122,90,0,0,0,0
109487,2024,60,60,48,52,48,59,124,88,0,0,0,0
109487,2025,60,60,46,53,45,61,125,85,0,0,0,0
109487,2026,61,61,44,54,42,63,127,83,0,0,0,0
109920,2022,0,0,0,0,0,0,42,35,0,0,0,0
109920,2023,0,0,0,0,0,0,45,35,0,0,0,0
109920,2024,0,0,0,0,0,0,49,36,0,0,0,0
109920,2025,0,0,0,0,0,0,52,36,0,0,0,0
109920,2026,0,0,0,0,0,0,56,37,0,0,0,0
110418,2022,0,0,0,0,0,0,58,37,0,0,0,0
110418,2023,0,0,0,0,0,0,61,31,0,0,0,0
110418,2024,0,0,0,0,0,0,65,26,0,0,0,0
110418,2025,0,0,0,0,0,0,69,21,0,0,0,0
110418,2026,0,0,0,0,0,0,73,18,0,0,0,0
110728,2022,0,0,0,0,0,0,116,110,0,0,0,0
110728,2023,0,0,0,0,0,0,123,117,0,0,0,0
110728,2024,0,0,0,0,0,0,131,123,0,0,0,0
110728,2025,0,0,0,0,0,0,139,130,0,0,0,0
110728,2026,0,0,0,0,0,0,147,138,0,0,0,0
111090,2022,37,50,57,47,42,54,0,0,0,0,0,0
111090,2023,41,50,60,45,35,58,0,0,0,0,0,0
111090,2024,44,50,63,43,30,63,0,0,0,0,0,0
111090,2025,48,50,66,41,25,68,0,0,0,0,0,0
111090,2026,52,50,70,39,21,74,0,0,0,0,0,0
111228,2022,20,20,26,8,15,0,0,0,0,0,0,0
111228,2023,21,28,35,6,15,0,0,0,0,0,0,0
111228,2024,22,38,47,5,15,0,0,0,0,0,0,0
111228,2025,23,53,63,4,15,0,0,0,0,0,0,0
111228,2026,24,73,84,4,15,0,0,0,0,0,0,0
111406,2022,60,26,37,40,26,41,40,61,0,0,0,0
111406,2023,73,22,35,40,22,38,40,67,0,0,0,0
111406,2024,88,20,33,41,20,35,40,75,0,0,0,0
111406,2025,106,17,31,41,17,33,40,83,0,0,0,0
111406,2026,128,15,30,41,15,30,40,93,0,0,0,0
111430,2022,150,32,47,60,55,50,72,75,0,0,0,0
111430,2023,239,27,45,60,51,42,70,71,0,0,0,0
111430,2024,380,22,43,60,48,35,68,67,0,0,0,0
111430,2025,603,18,41,60,44,29,67,63,0,0,0,0
111430,2026,957,15,39,60,41,25,65,60,0,0,0,0
111465,2022,77,59,73,47,68,142,0,0,0,0,0,0
111465,2023,151,71,118,57,94,339,0,0,0,0,0,0
111465,2024,294,86,193,68,128,807,0,0,0,0,0,0
111465,2025,571,103,313,81,176,1921,0,0,0,0,0,0
111465,2026,1111,123,509,97,242,4570,0,0,0,0,0,0
111532,2022,15,15,8,15,13,20,15,18,0,0,0,0
111532,2023,15,15,6,15,11,20,15,23,0,0,0,0
111532,2024,15,15,5,15,10,20,15,29,0,0,0,0
111532,2025,15,15,4,15,8,20,15,36,0,0,0,0
111532,2026,15,15,4,15,7,20,15,45,0,0,0,0
111600,2022,64,88,126,107,80,91,131,127,0,0,0,0
111600,2023,55,92,139,110,67,79,137,130,0,0,0,0
111600,2024,47,95,153,113,57,69,144,132,0,0,0,0
111600,2025,40,99,169,115,48,60,151,135,0,0,0,0
111600,2026,34,103,186,118,41,52,159,138,0,0,0,0
111740,2022,8,8,10,15,13,30,25,25,0,0,0,0
111740,2023,6,6,10,12,9,36,26,31,0,0,0,0
111740,2024,5,5,10,9,6,44,26,39,0,0,0,0
111740,2025,4,4,10,7,4,53,27,48,0,0,0,0
111740,2026,4,4,10,5,2,64,28,61,0,0,0,0
111775,2022,36,62,66,100,40,0,0,0,0,0,0,0
111775,2023,33,78,81,169,40,0,0,0,0,0,0,0
111775,2024,31,97,99,285,41,0,0,0,0,0,0,0
111775,2025,28,122,120,480,41,0,0,0,0,0,0,0
111775,2026,26,152,146,807,41,0,0,0,0,0,0,0
111872,2022,32,43,36,45,45,0,0,0,0,0,0,0
111872,2023,30,41,33,45,45,0,0,0,0,0,0,0
111872,2024,28,40,30,45,45,0,0,0,0,0,0,0
111872,2025,27,38,27,46,46,0,0,0,0,0,0,0
