Board Number|Board Name|School Number|School Name|School Type|School Level|School Language|Junior Kindergarten Enrolment|Kindergarten Enrolment|Grade 1 Enrolment|Grade 2 Enrolment|Grade 3 Enrolment|Grade 4 Enrolment|Grade 5 Enrolment|Grade 6 Enrolment|Grade 7 Enrolment|Grade 8 Enrolment|Grade 9 Enrolment|Grade 10 Enrolment|Grade 11 Enrolment|Grade 12 Enrolment
B67202|Algonquin and Lakeshore CDSB|719919|Holy Rosary Catholic School|Catholic|Elementary|English|20|20|25|20|20|20|10|20|30|30||||
B67202|Algonquin and Lakeshore CDSB|735523|J J O'Neill Catholic School|Catholic|Elementary|English|20|25|25|30|25|30|35|25|35|25||||
B67202|Algonquin and Lakeshore CDSB|724068|John XXIII Catholic School|Catholic|Elementary|English|20|15|25|15|25|25|30|20|25|30||||
B67202|Algonquin and Lakeshore CDSB|728420|Loyola Community Learning Centre|Catholic|Secondary|English|||||||||||||190|170
B67202|Algonquin and Lakeshore CDSB|773875|Mother Teresa Catholic School|Catholic|Elementary|English|35|40|35|45|45|45|45|50|45|35||||
B67202|Algonquin and Lakeshore CDSB|835099|Nicholson Catholic College|Catholic|Secondary|English|||||||||||100|105|95|110
B67202|Algonquin and Lakeshore CDSB|742279|Our Lady of Fatima Catholic School|Catholic|Elementary|English|20|20|10|20|20|20|20|25|20|15||||
B67202|Algonquin and Lakeshore CDSB|746568|Our Lady of Lourdes Catholic School|Catholic|Elementary|English|20|20|25|20|25|35|25|45|30|25||||
B67202|Algonquin and Lakeshore CDSB|746690|Our Lady of Mercy Catholic School|Catholic|Elementary|English|20|20|25|15|20|15|25|10|20|20||||
B67202|Algonquin and Lakeshore CDSB|706264|Our Lady of Mount Carmel Catholic School|Catholic|Elementary|English|60|55|60|60|40|65|50|50|35|50||||
B67202|Algonquin and Lakeshore CDSB|752932|Regiopolis/Notre-Dame Catholic High School|Catholic|Secondary|English|||||||||||205|230|235|310
B67202|Algonquin and Lakeshore CDSB|756830|Sacred Heart Catholic School|Catholic|Elementary|English|10|15|10|10|15|<10|20|10|15|<10||||
B67202|Algonquin and Lakeshore CDSB|764370|Sacred Heart Catholic School|Catholic|Elementary|English|20|15|20|10|15|15|20|10|<10|15||||
B67202|Algonquin and Lakeshore CDSB|868370|Sacred Heart Catholic School|Catholic|Elementary|English|<10|10|<10|<10|<10|<10|<10|<10|<10|<10||||
B67202|Algonquin and Lakeshore CDSB|781142|St Carthagh Catholic School|Catholic|Elementary|English|10|15|15|20|15|10|20|20|15|15||||
B67202|Algonquin and Lakeshore CDSB|756642|St Francis of Assisi Catholic School|Catholic|Elementary|English|20|25|25|20|25|25|30|25|40|30||||
B67202|Algonquin and Lakeshore CDSB|796220|St Gregory Catholic School|Catholic|Elementary|English|15|25|20|30|35|35|25|20|25|15||||
B67202|Algonquin and Lakeshore CDSB|799556|St James Major|Catholic|Elementary|English|<10|<10|<10|<10|<10|<10|<10|<10|<10|<10||||
B67202|Algonquin and Lakeshore CDSB|815330|St Joseph Catholic School|Catholic|Elementary|English|25|35|30|40|40|45|35|30|35|35||||
B67202|Algonquin and Lakeshore CDSB|830984|St Marguerite Bourgeoys Catholic School|Catholic|Elementary|English|40|40|40|60|30|35|35|45|50|40||||
B67202|Algonquin and Lakeshore CDSB|823570|St Martha Catholic School|Catholic|Elementary|English|40|30|25|30|30|40|30|45|25|40||||
B67202|Algonquin and Lakeshore CDSB|824330|St Martin of Tours Catholic School|Catholic|Elementary|English|<10|||<10||<10|<10|<10|<10|<10||||
B67202|Algonquin and Lakeshore CDSB|831840|St Mary Catholic School|Catholic|Elementary|English|40|40|50|50|45|50|45|45||||||
B67202|Algonquin and Lakeshore CDSB|865125|St Mary Catholic School|Catholic|Elementary|English|10|15|10|15|<10|10|10|<10|<10|15||||
B67202|Algonquin and Lakeshore CDSB|834688|St Michael Catholic School|Catholic|Elementary|English|60|70|55|80|70|70|70|55|60|45||||
B67202|Algonquin and Lakeshore CDSB|764248|St Patrick Catholic School|Catholic|Elementary|English|<10|<10|<10|<10||<10|<10|<10|<10|<10||||
B67202|Algonquin and Lakeshore CDSB|841773|St Patrick Catholic School|Catholic|Elementary|English|30|20|25|20|25|25|20|30|25|25||||
B67202|Algonquin and Lakeshore CDSB|706744|St Paul Catholic Elementary School|Catholic|Elementary|English|||||||||95|70||||
B67202|Algonquin and Lakeshore CDSB|842761|St Paul Catholic School|Catholic|Elementary|English|15|10|<10|15|<10|15|20|15|15|20||||
B67202|Algonquin and Lakeshore CDSB|841358|St Paul Catholic Secondary School|Catholic|Secondary|English|||||||||||110|80|85|90
B67202|Algonquin and Lakeshore CDSB|845493|St Peter Catholic School|Catholic|Elementary|English|40|40|25|40|45|45|35|50||||||
B67202|Algonquin and Lakeshore CDSB|851752|St Theresa Catholic Secondary School|Catholic|Secondary|English|||||||||||165|170|160|215
B67202|Algonquin and Lakeshore CDSB|856150|St Thomas More Catholic School|Catholic|Elementary|English|25|25|15|25|25|25|35|15|30|35||||
B66010|Avon Maitland DSB|019313|Anne Hathaway Public School|Public|Elementary|English|40|45|45|45|50|60|55|70||||||
B66010|Avon Maitland DSB|893048|Avon Maitland District E-learning Centre|Public|Secondary|English|||||||||||<10|35|85|145
B66010|Avon Maitland DSB|028673|Avon Public School|Public|Elementary|English|45|60|50|50|45|50|40|50||||||
B66010|Avon Maitland DSB|039306|Bedford Public School|Public|Elementary|English|45|65|55|50|50|65|55|55||||||
B66010|Avon Maitland DSB|272319|Bluewater Coast Elementary Public School|Public|Elementary|English|25|25|20|20|10|10|<10|20||||||
B66010|Avon Maitland DSB|066699|Brookside Public School|Public|Elementary|English|30|20|35|20|20|15|20|20|20|20||||
B66010|Avon Maitland DSB|899569|Central Huron Secondary School|Public|Secondary|English|||||||||||110|100|115|110
B66010|Avon Maitland DSB|093718|Central Perth Elementary School|Public|Elementary|English|15|30|10|20|20|20|15|25|30|25||||
B66010|Avon Maitland DSB|112917|Clinton Public School|Public|Elementary|English|15|25|25|20|25|25|40|35|40|40||||
B66010|Avon Maitland DSB|145912|Downie Central Public School|Public|Elementary|English|20|15|20|15|15|25|20|25|25|25||||
B66010|Avon Maitland DSB|175170|Elma Township Public School|Public|Elementary|English|25|30|40|25|35|30|45|35|45|45||||
B66010|Avon Maitland DSB|190527|Exeter Elementary School|Public|Elementary|English|50|55|45|30|50|40|45|50||||||
B66010|Avon Maitland DSB|953776|F E Madill Secondary School|Public|Secondary|English|||||||||||140|125|140|185
B66010|Avon Maitland DSB|181908|F. E. Madill Elementary|Public|Elementary|English|||||||||60|85||||
B66010|Avon Maitland DSB|450242|GDCI - Elementary|Public|Elementary|English|||||||||65|70||||
B66010|Avon Maitland DSB|913600|Goderich District Collegiate Institute|Public|Secondary|English|||||||||||90|90|85|145
B66010|Avon Maitland DSB|478133|Goderich Public School|Public|Elementary|English|55|70|70|55|75|65|60|75||||||
B66010|Avon Maitland DSB|242527|Hamlet Public School|Public|Elementary|English|25|25|25|30|<10|20|20|30||||||
B66010|Avon Maitland DSB|268003|Howick Central Public School|Public|Elementary|English|20|35|35|20|40|25|50|25|35|35||||
B66010|Avon Maitland DSB|268640|Hullett Central Public School|Public|Elementary|English|25|25|20|30|25|25|30|30|25|20||||
B66010|Avon Maitland DSB|273694|Huron Centennial Public School|Public|Elementary|English|40|25|35|35|45|35|35|30|50|40||||
B66010|Avon Maitland DSB|923095|Listowel District Secondary School|Public|Secondary|English|||||||||||205|205|205|290
B66010|Avon Maitland DSB|163619|Listowel Eastdale Public School|Public|Elementary|English|50|45|35|50|35|40|35|40||||||
