Board Number|Board Name|School Number|School Name|School Type|School Level|School Language|Junior Kindergarten Enrolment|Kindergarten Enrolment|Grade 1 Enrolment|Grade 2 Enrolment|Grade 3 Enrolment|Grade 4 Enrolment|Grade 5 Enrolment|Grade 6 Enrolment|Grade 7 Enrolment|Grade 8 Enrolment|Grade 9 Enrolment|Grade 10 Enrolment|Grade 11 Enrolment|Grade 12 Enrolment
B28100|CS public du Nord-Est de l'Ontario|067321|Ecole publique Heritage|Public|Elementary|French|50|55|45|55|50|50|50|55||||||
B28100|CS public du Nord-Est de l'Ontario|199737|Ecole publique Jeunesse-Active|Public|Elementary|French|40|40|35|30|20|20|30|25|35|20||||
B28100|CS public du Nord-Est de l'Ontario|165182|Ecole publique Le Coeur du Nord|Public|Elementary|French|30|30|25|20|30|20|30|30|30|25||||
B28100|CS public du Nord-Est de l'Ontario|314242|Ecole publique Lionel-Gauthier|Public|Elementary|French|40|45|40|45|45|30|30|30||||||
B28100|CS public du Nord-Est de l'Ontario|469165|Ecole publique Pavillon Renaissance|Public|Elementary|French|||||||||35|25||||
B28100|CS public du Nord-Est de l'Ontario|902306|Ecole secondaire Cochrane|Public|Secondary|French||||||||||||<10|<10|30
B28100|CS public du Nord-Est de l'Ontario|966753|Ecole secondaire Passeport Jeunesse|Public|Secondary|French|||||||||||<10|<10||<10
B28100|CS public du Nord-Est de l'Ontario|922870|Ecole secondaire Renaissance|Public|Secondary|French|||||||||||20|15|20|25
B28100|CS public du Nord-Est de l'Ontario|918296|Ecole secondaire l'Alliance|Public|Secondary|French|||||||||||20|15|10|<10
B28100|CS public du Nord-Est de l'Ontario|919055|Ecole secondaire publique Echo du Nord|Public|Secondary|French|||||||||||20|15|10|15
B28100|CS public du Nord-Est de l'Ontario|946117|Ecole secondaire publique Nipissing Ouest|Public|Secondary|French|||||||||||15|20|20|25
B28100|CS public du Nord-Est de l'Ontario|909335|Ecole secondaire publique Odyssee|Public|Secondary|French|||||||||||10|<10|20|15
B29114|CSDC Franco-Nord|848662|Ecole Saint-Raymond|Catholic|Elementary|French|25|25|20|25|15|15|10|20||||||
B29114|CSDC Franco-Nord|781255|Ecole elementaire catholique Saint-Joseph|Catholic|Elementary|French|20|25|35|25|35|30|25|25|25|25||||
B29114|CSDC Franco-Nord|712592|Ecole elementaire catholique Saints-Anges|Catholic|Elementary|French|30|30|40|35|35|40|35|30||||||
B29114|CSDC Franco-Nord|697605|Ecole secondaire catholique Algonquin|Catholic|Elementary|French|||||||||110|90||||
B29114|CSDC Franco-Nord|685011|Ecole secondaire catholique Algonquin|Catholic|Secondary|French|||||||||||100|100|90|145
B29114|CSDC Franco-Nord|689730|Ecole secondaire catholique Elisabeth-Bruyere|Catholic|Elementary|French|||||||||15|15||||
B29114|CSDC Franco-Nord|710504|Ecole secondaire catholique Elisabeth-Bruyere|Catholic|Secondary|French|||||||||||<10|10|<10|<10
B29114|CSDC Franco-Nord|710660|Ecole secondaire catholique Franco-Cite|Catholic|Secondary|French|||||||||||70|85|65|85
B29114|CSDC Franco-Nord|701580|Ecole separee Christ-Roi|Catholic|Elementary|French|<10|<10|10|<10|<10|15|<10|<10|<10|<10||||
B29114|CSDC Franco-Nord|753068|Ecole separee La Resurrection|Catholic|Elementary|French|15|20|25|25|25|20|20|15|15|25||||
B29114|CSDC Franco-Nord|728101|Ecole separee Lorrain|Catholic|Elementary|French|<10|<10|<10|<10|<10|<10|<10|<10||||||
B29114|CSDC Franco-Nord|730440|Ecole separee Mariale|Catholic|Elementary|French|<10|<10|<10|<10|<10|<10||<10||||||
B29114|CSDC Franco-Nord|854590|Ecole separee Saint-Thomas-D'Aquin|Catholic|Elementary|French|30|25|35|30|25|30|30|25|20|20||||
B29114|CSDC Franco-Nord|858366|Ecole separee Saint-Vincent|Catholic|Elementary|French|15|10|20|10|20|15|20|15||||||
B29114|CSDC Franco-Nord|860441|Ecole separee Sainte-Anne|Catholic|Elementary|French|10|<10|<10|10|10|10|15|10||||||
B29114|CSDC Franco-Nord|730335|Ecole separee Ste-Marguerite-d'Youville|Catholic|Elementary|French|15|15|25|25|25|25|30|20|20|30||||
B67326|CSDC de l'Est ontarien|705225|Ecole elementaire catholique Cure-Labrosse|Catholic|Elementary|French|20|15|15|15|10|15|15|<10||||||
B67326|CSDC de l'Est ontarien|698202|Ecole elementaire catholique Du Rosaire|Catholic|Elementary|French|<10|10|10|10|10|<10|10|15||||||
B67326|CSDC de l'Est ontarien|753297|Ecole elementaire catholique Elda-Rouleau|Catholic|Elementary|French|30|15|20|35|30|30|30|40||||||
B67326|CSDC de l'Est ontarien|754102|Ecole elementaire catholique Embrun - Pav. Saint-Jean/Pav. La Croisee|Catholic|Elementary|French|60|85|60|75|85|75|100|80||||||
B67326|CSDC de l'Est ontarien|725668|Ecole elementaire catholique La Source|Catholic|Elementary|French|20|15|25|20|15|15|10|<10||||||
B67326|CSDC de l'Est ontarien|861367|Ecole elementaire catholique Marie-Tanguay|Catholic|Elementary|French|50|50|50|50|35|55|55|60||||||
B67326|CSDC de l'Est ontarien|737208|Ecole elementaire catholique Notre-Dame|Catholic|Elementary|French|45|30|40|45|45|45|30|25||||||
B67326|CSDC de l'Est ontarien|707465|Ecole elementaire catholique Notre-Dame-du-Rosaire|Catholic|Elementary|French|15|30|15|15|15|10|10|15||||||
B67326|CSDC de l'Est ontarien|750034|Ecole elementaire catholique Paul VI|Catholic|Elementary|French|25|20|25|30|30|45|45|50||||||
B67326|CSDC de l'Est ontarien|698075|Ecole elementaire catholique Sacre-Coeur|Catholic|Elementary|French|25|25|25|20|20|25|20|15||||||
B67326|CSDC de l'Est ontarien|766321|Ecole elementaire catholique Saint-Albert|Catholic|Elementary|French|15|10|<10|<10|<10|<10|15|<10||||||
B67326|CSDC de l'Est ontarien|795186|Ecole elementaire catholique Saint-Gregoire|Catholic|Elementary|French|20|15|10|10|20|20|25|20||||||
B67326|CSDC de l'Est ontarien|798304|Ecole elementaire catholique Saint-Isidore|Catholic|Elementary|French|20|20|20|15|25|25|20|25||||||
B67326|CSDC de l'Est ontarien|799998|Ecole elementaire catholique Saint-Jean-Baptiste|Catholic|Elementary|French|20|25|35|25|20|30|20|20||||||
B67326|CSDC de l'Est ontarien|753840|Ecole elementaire catholique Saint-Joseph (Russell)|Catholic|Elementary|French|45|30|35|30|30|40|20|25||||||
B67326|CSDC de l'Est ontarien|813257|Ecole elementaire catholique Saint-Joseph (Wendover)|Catholic|Elementary|French|30|25|30|20|20|20|25|15||||||
B67326|CSDC de l'Est ontarien|697680|Ecole elementaire catholique Saint-Mathieu|Catholic|Elementary|French|25|30|30|15|30|25|25|20||||||
B67326|CSDC de l'Est ontarien|841595|Ecole elementaire catholique Saint-Paul|Catholic|Elementary|French|25|15|20|30|20|20|25|25||||||
B67326|CSDC de l'Est ontarien|857327|Ecole elementaire catholique Saint-Viateur|Catholic|Elementary|French|60|65|40|55|50|35|45|40||||||
B67326|CSDC de l'Est ontarien|857459|Ecole elementaire catholique Saint-Victor|Catholic|Elementary|French|25|25|35|35|35|30|15|25||||||
B67326|CSDC de l'Est ontarien|697940|Ecole elementaire catholique Sainte-Felicite|Catholic|Elementary|French|25|35|25|20|25|30|15|25||||||
B67326|CSDC de l'Est ontarien|699373|Ecole elementaire catholique Sainte-Lucie|Catholic|Elementary|French|40|30|30|30|35|30|30|25||||||
B67326|CSDC de l'Est ontarien|863696|Ecole elementaire catholique Sainte-Trinite|Catholic|Elementary|French|80|90|75|85|80|75|90|80||||||
B67326|CSDC de l'Est ontarien|840947|Ecole elementaire catholique de Casselman - Pav. St-Paul/Ste-Euphemie|Catholic|Elementary|French|65|55|70|45|60|45|60|65||||||
B67326|CSDC de l'Est ontarien|860443|Ecole elementaire catholique de l'Ange-Gardien|Catholic|Elementary|French|20|25|25|15|20|20|25|25||||||
B67326|CSDC de l'Est ontarien|718815|Ecole intermediaire catholique - Pavillon Alexandria|Catholic|Elementary|French|||||||||45|40||||
B67326|CSDC de l'Est ontarien|804392|Ecole intermediaire catholique - Pavillon Casselman|Catholic|Elementary|French|||||||||150|125||||
B67326|CSDC de l'Est ontarien|733228|Ecole intermediaire catholique - Pavillon Embrun|Catholic|Elementary|French|||||||||130|120||||
B67326|CSDC de l'Est ontarien|770396|Ecole intermediaire catholique - Pavillon Hawkesbury|Catholic|Elementary|French|||||||||90|80||||
B67326|CSDC de l'Est ontarien|767894|Ecole intermediaire catholique - Pavillon Plantagenet|Catholic|Elementary|French|||||||||70|55||||
B67326|CSDC de l'Est ontarien|728807|Ecole intermediaire catholique - Pavillon Rockland|Catholic|Elementary|French|||||||||145|150||||
B67326|CSDC de l'Est ontarien|723592|Ecole intermediaire catholique La Citadelle|Catholic|Elementary|French|||||||||125|115||||
B67326|CSDC de l'Est ontarien|704920|Ecole secondaire catholique Embrun|Catholic|Secondary|French|||||||||||120|120|100|105
B67326|CSDC de l'Est ontarien|728330|Ecole secondaire catholique L'Escale|Catholic|Secondary|French|||||||||||145|125|115|125
B67326|CSDC de l'Est ontarien|725684|Ecole secondaire catholique La Citadelle|Catholic|Secondary|French|||||||||||90|95|85|90
B67326|CSDC de l'Est ontarien|752908|Ecole secondaire catholique Le Relais|Catholic|Secondary|French|||||||||||35|35|35|35
B67326|CSDC de l'Est ontarien|695050|Ecole secondaire catholique de Casselman|Catholic|Secondary|French|||||||||||140|120|155|140
B67326|CSDC de l'Est ontarien|752720|Ecole secondaire catholique de Plantagenet|Catholic|Secondary|French|||||||||||70|70|55|60
B67326|CSDC de l'Est ontarien|713740|Ecole secondaire catholique regionale de Hawkesbury|Catholic|Secondary|French|||||||||||75|90|95|105
B29130|CSDC des Aurores boreales|722421|Ecole Immaculee-Conception|Catholic|Elementary|French|<10|<10|<10|<10|<10|<10|<10|<10|<10|||||
B29130|CSDC des Aurores boreales|738417|Ecole Notre-Dame-de-Fatima|Catholic|Elementary|French|15|<10|<10|<10|10|<10|10|10|10|<10||||
B29130|CSDC des Aurores boreales|808440|Ecole St-Joseph|Catholic|Elementary|French|<10|<10|<10|<10|<10|<10|<10|<10|<10|<10||||
B29130|CSDC des Aurores boreales|787779|Ecole catholique Franco-Superieur|Catholic|Elementary|French|40|40|35|40|35|40|35|40||||||
B29130|CSDC des Aurores boreales|821950|Ecole catholique Franco-Terrace|Catholic|Elementary|French|<10|<10|<10|<10|<10|<10|<10|<10|<10|||||
B29130|CSDC des Aurores boreales|773778|Ecole catholique Val-des-Bois|Catholic|Elementary|French|<10|<10|<10|<10|<10|<10|<10|<10|<10|<10||||
B29130|CSDC des Aurores boreales|860515|Ecole catholique de La Verendrye|Catholic|Elementary|French|||||||||45|50||||
B29130|CSDC des Aurores boreales|705708|Ecole catholique de l'Enfant-Jesus|Catholic|Elementary|French|<10|<10|<10|<10|<10|<10|<10|<10|<10|<10||||
B29130|CSDC des Aurores boreales|805076|Ecole catholique des Etoiles-du-Nord|Catholic|Elementary|French|<10|<10|<10|<10|<10|<10|<10|<10||<10||||
B29130|CSDC des Aurores boreales|701718|Ecole secondaire catholique de La Verendrye|Catholic|Secondary|French|||||||||||40|30|35|30
B29130|CSDC des Aurores boreales|740225|Notre-Dame-des-Ecoles|Catholic|Elementary|French|<10||||<10|||<10|<10|||||
B29106|CSDC des Grandes Rivieres|686638|Ecole catholique Andre-Cary|Catholic|Elementary|French|25|30|25|30|30|25|15|25||||||
B29106|CSDC des Grandes Rivieres|686760|Ecole catholique Anicet-Morin|Catholic|Elementary|French||||||55|45|65|45|55||||
B29106|CSDC des Grandes Rivieres|687677|Ecole catholique Assomption (Earlton)|Catholic|Elementary|French|25|15|25|10|20|20|15|15|15|25||||
B29106|CSDC des Grandes Rivieres|687936|Ecole catholique Assomption (Kirkland Lake)|Catholic|Elementary|French|20|20|20|20|20|20|20|15||||||
B29106|CSDC des Grandes Rivieres|815377|Ecole catholique Cite des Jeunes|Catholic|Elementary|French|||||||||40|40||||
B29106|CSDC des Grandes Rivieres|685186|Ecole catholique Don-Bosco|Catholic|Elementary|French|15|20|30|40|35|35|40|35||||||
B29106|CSDC des Grandes Rivieres|707996|Ecole catholique Georges-Vanier|Catholic|Elementary|French|<10|10|<10|<10|<10|<10|<10|<10|<10|<10||||
B29106|CSDC des Grandes Rivieres|723290|Ecole catholique Jacques-Cartier (Kapuskasing)|Catholic|Elementary|French|25|25|20|15|25|20|15|20||||||
B29106|CSDC des Grandes Rivieres|723169|Ecole catholique Jacques-Cartier (Timmins)|Catholic|Elementary|French|15|15|40|40|30|25||||||||
B29106|CSDC des Grandes Rivieres|805580|Ecole catholique Louis-Rheaume|Catholic|Elementary|French|50|50||||||||||||
B29106|CSDC des Grandes Rivieres|740322|Ecole catholique Notre-Dame (Foleyet)|Catholic|Elementary|French|<10|<10|<10||<10||<10|<10|<10|<10||||
B29106|CSDC des Grandes Rivieres|736422|Ecole catholique Notre-Dame-du-Rosaire (Gogama)|Catholic|Elementary|French|<10|<10|<10||<10|<10|<10|<10||||||
B29106|CSDC des Grandes Rivieres|807796|Ecole catholique Nouveau Regard - Pavillon St-Joseph|Catholic|Elementary|French|30|30|30|25|30|20|25|15|25|20||||
B29106|CSDC des Grandes Rivieres|724157|Ecole catholique Nouveau Regard-Pavillon Jeunesse Nord|Catholic|Secondary|French|||||||||||20|30|25|25
B29106|CSDC des Grandes Rivieres|798401|Ecole catholique Pavillon Notre-Dame|Catholic|Elementary|French|15|25|30|30|20|25||||||||
B29106|CSDC des Grandes Rivieres|705322|Ecole catholique Sacre-Coeur (Timmins)|Catholic|Elementary|French|||||||45|50|125|110||||
B29106|CSDC des Grandes Rivieres|835358|Ecole catholique Saint-Michel|Catholic|Elementary|French|50|40|40|45|40|40|40|35|25|45||||
B29106|CSDC des Grandes Rivieres|785466|Ecole catholique Sainte-Croix|Catholic|Elementary|French|20|15|15|<10|<10|20|15|<10|15|10||||
B29106|CSDC des Grandes Rivieres|853291|Ecole catholique Sainte-Therese|Catholic|Elementary|French|<10|15|<10|10|<10|10|10|<10|<10|<10||||
B29106|CSDC des Grandes Rivieres|787124|Ecole catholique St-Dominique|Catholic|Elementary|French|40|50|55|45|65|||||||||
B29106|CSDC des Grandes Rivieres|793108|Ecole catholique St-Francois-Xavier|Catholic|Elementary|French|<10|<10|<10|<10|<10|<10|<10|<10|<10|<10||||
B29106|CSDC des Grandes Rivieres|794708|Ecole catholique St-Gerard|Catholic|Elementary|French|10|15|20|25|15|15|20|10||||||
B29106|CSDC des Grandes Rivieres|815985|Ecole catholique St-Jude|Catholic|Elementary|French|20|20|25|20|15|20|25|15||||||
B29106|CSDC des Grandes Rivieres|707309|Ecole catholique St-Jules|Catholic|Elementary|French|<10|10|<10|<10|<10|<10|<10|<10|<10|<10||||
B29106|CSDC des Grandes Rivieres|819107|Ecole catholique St-Louis (Hearst)|Catholic|Elementary|French|||||||55|35|45|50||||
B29106|CSDC des Grandes Rivieres|819506|Ecole catholique St-Louis (Virginiatown)|Catholic|Elementary|French|<10|<10|<10||<10|<10|<10|<10||||||
B29106|CSDC des Grandes Rivieres|860310|Ecole catholique Ste-Anne|Catholic|Elementary|French|15|10|<10|10|<10|15||||||||
B29106|CSDC des Grandes Rivieres|863823|Ecole catholique Sts-Martyrs-Canadiens|Catholic|Elementary|French|15|10|25|15|10|<10|<10|15|<10|10||||
B29106|CSDC des Grandes Rivieres|862752|Ecole catholique l?Envolee du Nord|Catholic|Elementary|French|||||||||10|20||||
B29106|CSDC des Grandes Rivieres|698725|Ecole secondaire catholique Cite des Jeunes|Catholic|Secondary|French|||||||||||55|45|60|50
B29106|CSDC des Grandes Rivieres|835005|Ecole secondaire catholique Georges-Vanier|Catholic|Secondary|French|||||||||||<10|<10|<10|<10
B29106|CSDC des Grandes Rivieres|711110|Ecole secondaire catholique Hearst|Catholic|Secondary|French|||||||||||55|40|65|80
B29106|CSDC des Grandes Rivieres|686085|Ecole secondaire catholique L'Alliance|Catholic|Secondary|French|||||||||||<10|15|10|15
B29106|CSDC des Grandes Rivieres|822507|Ecole secondaire catholique Sainte-Marie|Catholic|Secondary|French|||||||||||50|70|45|100
B29106|CSDC des Grandes Rivieres|864650|Ecole secondaire catholique Theriault|Catholic|Secondary|French|||||||||||170|140|140|150
B29106|CSDC des Grandes Rivieres|705020|Ecole secondaire catholique l?Envolee du Nord|Catholic|Secondary|French|||||||||||15|15|20|20
B29106|CSDC des Grandes Rivieres|705949|La Clef|Catholic|Secondary|French|||||||||||||<10|75
B67334|CSDC du Centre-Est de l'Ontario|735632|Ecole elementaire Academie catholique Ange-Gabriel|Catholic|Elementary|French|25|25|25|25|25|30|25|30||||||
B67334|CSDC du Centre-Est de l'Ontario|731385|Ecole elementaire catholique Alain-Fortin|Catholic|Elementary|French|50|55|70|65|75|75|70|65||||||
B67334|CSDC du Centre-Est de l'Ontario|705047|Ecole elementaire catholique Arc-en-ciel|Catholic|Elementary|French|50|45|65|55|50|55|45|65||||||
B67334|CSDC du Centre-Est de l'Ontario|866248|Ecole elementaire catholique Au Coeur d'Ottawa|Catholic|Elementary|French|25|30|20|15|15|<10|10|<10||||||
B67334|CSDC du Centre-Est de l'Ontario|769765|Ecole elementaire catholique Bernard-Grandmaitre|Catholic|Elementary|French|85|85|90|100|110|90|90|100||||||
B67334|CSDC du Centre-Est de l'Ontario|705390|Ecole elementaire catholique De la Decouverte|Catholic|Elementary|French|45|45|55|60|75|75|70|65||||||
B67334|CSDC du Centre-Est de l'Ontario|741671|Ecole elementaire catholique Des  Voyageurs|Catholic|Elementary|French|35|40|35|45|45|40|40|30||||||
B67334|CSDC du Centre-Est de l'Ontario|764264|Ecole elementaire catholique Des Pins|Catholic|Elementary|French|20|30|20|10|25|10|25|25||||||
B67334|CSDC du Centre-Est de l'Ontario|703168|Ecole elementaire catholique Des Pionniers|Catholic|Elementary|French|60|55|60|50|45|55|55|55||||||
B67334|CSDC du Centre-Est de l'Ontario|705055|Ecole elementaire catholique Elisabeth-Bruyere|Catholic|Elementary|French|65|60|60|70|50|55|55|55||||||
B67334|CSDC du Centre-Est de l'Ontario|864730|Ecole elementaire catholique George-Etienne-Cartier|Catholic|Elementary|French|45|50|55|40|45|50|50|55||||||
B67334|CSDC du Centre-Est de l'Ontario|701688|Ecole elementaire catholique Horizon-Jeunesse|Catholic|Elementary|French|30|30|35|45|35|25|40|40||||||
B67334|CSDC du Centre-Est de l'Ontario|722901|Ecole elementaire catholique J.-L.-Couroux|Catholic|Elementary|French|35|35|30|30|25|20|20|20||||||
B67334|CSDC du Centre-Est de l'Ontario|705136|Ecole elementaire catholique Jean-Robert-Gauthier|Catholic|Elementary|French|30|30|35|50|30|45|40|55||||||
B67334|CSDC du Centre-Est de l'Ontario|696005|Ecole elementaire catholique Jeanne-Lajoie|Catholic|Elementary|French|85|65|55|80|80|65|60|55||||||
B67334|CSDC du Centre-Est de l'Ontario|701670|Ecole elementaire catholique L'Envol|Catholic|Elementary|French|35|30|30|25|15|15|25|15|<10|<10||||
B67334|CSDC du Centre-Est de l'Ontario|865648|Ecole elementaire catholique L'Etoile-de-l'Est|Catholic|Elementary|French|55|30|50|45|50|45|65|60||||||
B67334|CSDC du Centre-Est de l'Ontario|725536|Ecole elementaire catholique La Verendrye|Catholic|Elementary|French|60|50|60|55|55|60|50|60||||||
B67334|CSDC du Centre-Est de l'Ontario|734314|Ecole elementaire catholique Laurier-Carriere|Catholic|Elementary|French|30|55|40|55|50|60|55|55||||||
B67334|CSDC du Centre-Est de l'Ontario|753157|Ecole elementaire catholique Marius-Barbeau|Catholic|Elementary|French|40|40|25|40|35|30|40|40||||||
B67334|CSDC du Centre-Est de l'Ontario|705420|Ecole elementaire catholique Mgr-Remi-Gaulin|Catholic|Elementary|French|50|45|35|35|35|40|40|45||||||
B67334|CSDC du Centre-Est de l'Ontario|732397|Ecole elementaire catholique Montfort|Catholic|Elementary|French|90|80|75|80|75|75|70|75||||||
B67334|CSDC du Centre-Est de l'Ontario|761251|Ecole elementaire catholique Notre-Dame|Catholic|Elementary|French|25|20|20|25|10|20|15|10|15|20||||
B67334|CSDC du Centre-Est de l'Ontario|735920|Ecole elementaire catholique Notre-Dame-des-Champs|Catholic|Elementary|French|65|65|60|60|55|55|40|35||||||
B67334|CSDC du Centre-Est de l'Ontario|796656|Ecole elementaire catholique Notre-Place|Catholic|Elementary|French|55|55|60|55|60|60|65|45||||||
B67334|CSDC du Centre-Est de l'Ontario|688762|Ecole elementaire catholique Pierre-Elliott-Trudeau|Catholic|Elementary|French|45|55|55|60|40|55|50|55||||||
B67334|CSDC du Centre-Est de l'Ontario|705365|Ecole elementaire catholique Reine-des-Bois|Catholic|Elementary|French|30|25|30|25|20|40|35|35||||||
B67334|CSDC du Centre-Est de l'Ontario|753203|Ecole elementaire catholique Roger-Saint-Denis|Catholic|Elementary|French|30|30|30|35|15|20|30|20||||||
B67334|CSDC du Centre-Est de l'Ontario|793027|Ecole elementaire catholique Saint-Francois-d'Assise|Catholic|Elementary|French|45|40|60|35|60|40|35|35||||||
B67334|CSDC du Centre-Est de l'Ontario|701971|Ecole elementaire catholique Saint-Guillaume|Catholic|Elementary|French|25|20|25|25|25|25|25|25|<10|<10||||
B67334|CSDC du Centre-Est de l'Ontario|156159|Ecole elementaire catholique Saint-Jean-Paul II|Catholic|Elementary|French|45|45|60|40|50|55|60|70||||||
B67334|CSDC du Centre-Est de l'Ontario|703095|Ecole elementaire catholique Saint-Joseph d'Orleans|Catholic|Elementary|French|40|25|45|40|35|55|50|50||||||
B67334|CSDC du Centre-Est de l'Ontario|752625|Ecole elementaire catholique Saint-Remi|Catholic|Elementary|French|40|65|55|55|60|55|70|70||||||
B67334|CSDC du Centre-Est de l'Ontario|860573|Ecole elementaire catholique Sainte-Anne|Catholic|Elementary|French|35|30|20|30|20|25|30|35||||||
B67334|CSDC du Centre-Est de l'Ontario|709387|Ecole elementaire catholique Sainte-Bernadette|Catholic|Elementary|French|50|40|50|45|55|45|55|50||||||
B67334|CSDC du Centre-Est de l'Ontario|861871|Ecole elementaire catholique Sainte-Genevieve|Catholic|Elementary|French|75|85|90|60|70|90|75|85||||||
B67334|CSDC du Centre-Est de l'Ontario|733402|Ecole elementaire catholique Sainte-Kateri|Catholic|Elementary|French|40|50|50|70|60|45|55|60||||||
B67334|CSDC du Centre-Est de l'Ontario|730980|Ecole elementaire catholique Sainte-Marguerite-Bourgeoys|Catholic|Elementary|French|10|10|15|15|<10|10|10|<10||||||
B67334|CSDC du Centre-Est de l'Ontario|709646|Ecole elementaire catholique Sainte-Marie|Catholic|Elementary|French|25|20|30|30|20|25|25|15||||||
B67334|CSDC du Centre-Est de l'Ontario|740845|Ecole elementaire catholique Sainte-Therese-d'Avila|Catholic|Elementary|French|15|10|15|15|15|15|15|15|<10|<10||||
B67334|CSDC du Centre-Est de l'Ontario|861480|Ecole elementaire catholique Terre-des-Jeunes|Catholic|Elementary|French|55|65|70|70|65|75|85|80||||||
B67334|CSDC du Centre-Est de l'Ontario|786634|Ecole elementaire catholique d'enseignement personnalise Edouard-Bond|Catholic|Elementary|French|55|60|50|40|45|40|35|35||||||
B67334|CSDC du Centre-Est de l'Ontario|703753|Ecole elementaire catholique d'enseignement personnalise La Source|Catholic|Elementary|French|45|55|55|55|40|45|50|45||||||
B67334|CSDC du Centre-Est de l'Ontario|725633|Ecole elementaire catholique d'enseignement personnalise Lamoureux|Catholic|Elementary|French|60|55|60|60|60|45|50|45||||||
B67334|CSDC du Centre-Est de l'Ontario|767978|Ecole intermediaire catholique Academie catholique Ange-Gabriel|Catholic|Elementary|French|||||||||20|25||||
B67334|CSDC du Centre-Est de l'Ontario|705276|Ecole intermediaire catholique Beatrice-Desloges|Catholic|Elementary|French|||||||||210|230||||
B67334|CSDC du Centre-Est de l'Ontario|752550|Ecole intermediaire catholique Franco-Cite|Catholic|Elementary|French|||||||||285|275||||
B67334|CSDC du Centre-Est de l'Ontario|750107|Ecole intermediaire catholique Franco-Ouest|Catholic|Elementary|French|||||||||135|125||||
B67334|CSDC du Centre-Est de l'Ontario|752576|Ecole intermediaire catholique Garneau|Catholic|Elementary|French|||||||||205|185||||
B67334|CSDC du Centre-Est de l'Ontario|696030|Ecole intermediaire catholique Jeanne-Lajoie|Catholic|Elementary|French|||||||||65|45||||
B67334|CSDC du Centre-Est de l'Ontario|705241|Ecole intermediaire catholique Marie-Rivier|Catholic|Elementary|French|||||||||50|55||||
B67334|CSDC du Centre-Est de l'Ontario|752899|Ecole intermediaire catholique Mer Bleue|Catholic|Elementary|French|||||||||175|195||||
B67334|CSDC du Centre-Est de l'Ontario|685986|Ecole intermediaire catholique Paul-Desmarais|Catholic|Elementary|French|||||||||215|180||||
B67334|CSDC du Centre-Est de l'Ontario|718973|Ecole intermediaire catholique Pierre-Savard|Catholic|Elementary|French|||||||||230|225||||
B67334|CSDC du Centre-Est de l'Ontario|751120|Ecole intermediaire catholique Samuel-Genest|Catholic|Elementary|French|||||||||185|190||||
B67334|CSDC du Centre-Est de l'Ontario|855949|Ecole secondaire catholique Academie catholique Ange-Gabriel|Catholic|Secondary|French|||||||||||25|20|15|15
B67334|CSDC du Centre-Est de l'Ontario|705314|Ecole secondaire catholique Beatrice-Desloges|Catholic|Secondary|French|||||||||||230|225|215|220
B67334|CSDC du Centre-Est de l'Ontario|694827|Ecole secondaire catholique College catholique Franco-Ouest|Catholic|Secondary|French|||||||||||125|125|115|125
B67334|CSDC du Centre-Est de l'Ontario|695955|Ecole secondaire catholique College catholique Samuel-Genest|Catholic|Secondary|French|||||||||||185|180|180|175
B67334|CSDC du Centre-Est de l'Ontario|705233|Ecole secondaire catholique Franco-Cite|Catholic|Secondary|French|||||||||||225|255|210|215
B67334|CSDC du Centre-Est de l'Ontario|710903|Ecole secondaire catholique Garneau|Catholic|Secondary|French|||||||||||175|180|180|190
B67334|CSDC du Centre-Est de l'Ontario|696021|Ecole secondaire catholique Jeanne-Lajoie|Catholic|Secondary|French|||||||||||40|45|45|45
B67334|CSDC du Centre-Est de l'Ontario|750085|Ecole secondaire catholique Marie-Rivier|Catholic|Secondary|French|||||||||||65|35|40|30
B67334|CSDC du Centre-Est de l'Ontario|846435|Ecole secondaire catholique Mer Bleue|Catholic|Secondary|French|||||||||||145|115|105|95
B67334|CSDC du Centre-Est de l'Ontario|804005|Ecole secondaire catholique Notre-Dame|Catholic|Secondary|French|||||||||||10|10|<10|<10
B67334|CSDC du Centre-Est de l'Ontario|758231|Ecole secondaire catholique Paul-Desmarais|Catholic|Secondary|French|||||||||||175|160|130|105
B67334|CSDC du Centre-Est de l'Ontario|832670|Ecole secondaire catholique Pierre-Savard|Catholic|Secondary|French|||||||||||190|210|155|165
B67334|CSDC du Centre-Est de l'Ontario|705373|Ecole secondaire catholique de l?innovation|Catholic|Secondary|French|||||||||||20|25|30|20
B29122|CSDC du Nouvel-Ontario|695483|Carrefour Options +|Catholic|Secondary|French|||||||||||<10|<10|<10|<10
B29122|CSDC du Nouvel-Ontario|698989|College Notre-Dame|Catholic|Secondary|French|||||||||||110|115|150|135
B29122|CSDC du Nouvel-Ontario|871029|Ecole Alliance St-Joseph|Catholic|Elementary|French|50|50|35|45|45|40|45|55|35|50||||
B29122|CSDC du Nouvel-Ontario|774379|Ecole Notre-Dame-du-Sault|Catholic|Elementary|French|30|25|30|20|20|25|25|35|30|30||||
B29122|CSDC du Nouvel-Ontario|717258|Ecole Saint Nom de Jesus|Catholic|Elementary|French|<10|<10|<10|<10||<10|<10|<10||<10||||
B29122|CSDC du Nouvel-Ontario|809390|Ecole Saint-Joseph|Catholic|Elementary|French|20|15|20|20|15|15|15|10|10|15||||
