School Number,Year,School Type,School Level,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment,Total Enrolment
902344,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,0,10,30,160,200
19186,2021-2022,Public,Elementary,20,40,30,25,20,30,15,25,0,0,0,0,205
43362,2021-2022,Public,Elementary,15,15,20,25,20,20,20,15,0,0,0,0,150
54542,2021-2022,Public,Elementary,15,15,20,10,15,20,20,30,0,0,0,0,145
490822,2021-2022,Public,Elementary,65,55,45,40,35,40,40,25,0,0,0,0,345
137967,2021-2022,Public,Elementary,0,0,0,0,0,0,100,105,0,0,0,0,205
285552,2021-2022,Public,Elementary,15,15,20,20,20,25,0,0,0,0,0,0,115
891347,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,75,90,80,80,325
93548,2021-2022,Public,Elementary,20,20,20,15,30,25,0,0,0,0,0,0,130
900869,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,15,15,15,10,55
101214,2021-2022,Public,Elementary,10,15,10,10,10,10,20,15,0,0,0,0,100
161276,2021-2022,Public,Elementary,30,30,20,30,35,35,25,40,0,0,0,0,245
165042,2021-2022,Public,Elementary,30,35,25,35,30,20,0,0,0,0,0,0,175
293055,2021-2022,Public,Elementary,0,0,0,0,0,0,45,50,0,0,0,0,95
908010,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,95,80,80,90,345
186783,2021-2022,Public,Elementary,25,15,15,20,15,10,0,0,0,0,0,0,100
202614,2021-2022,Public,Elementary,60,55,45,40,55,55,45,45,0,0,0,0,400
227331,2021-2022,Public,Elementary,20,45,35,30,35,25,15,20,0,0,0,0,225
230561,2021-2022,Public,Elementary,30,35,30,30,25,30,15,10,0,0,0,0,205
237191,2021-2022,Public,Elementary,15,20,20,15,30,25,20,30,0,0,0,0,175
917370,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,10,10,15,10,45
264750,2021-2022,Public,Elementary,10,10,10,10,10,10,10,10,0,0,0,0,80
278270,2021-2022,Public,Elementary,20,25,30,25,25,25,0,0,0,0,0,0,150
302350,2021-2022,Public,Elementary,20,25,25,30,20,20,0,0,0,0,0,0,140
920533,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,265,240,225,240,970
18309,2021-2022,Public,Elementary,0,0,0,0,0,0,85,115,0,0,0,0,200
926086,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,30,25,30,30,115
195200,2021-2022,Public,Elementary,25,25,25,25,20,15,25,20,0,0,0,0,180
891150,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,10,10,10,10,40
410870,2021-2022,Public,Elementary,25,20,30,20,25,20,25,15,0,0,0,0,180
434922,2021-2022,Public,Elementary,15,15,15,10,20,15,10,10,0,0,0,0,110
442054,2021-2022,Public,Elementary,30,30,25,30,25,15,25,30,0,0,0,0,210
462616,2021-2022,Public,Elementary,30,25,35,45,30,30,30,30,0,0,0,0,255
468339,2021-2022,Public,Elementary,25,45,35,30,20,35,20,10,0,0,0,0,220
485497,2021-2022,Public,Elementary,15,25,25,25,30,20,20,15,0,0,0,0,175
677523,2021-2022,Public,Elementary,0,0,0,0,10,0,0,10,0,0,0,0,20
515396,2021-2022,Public,Elementary,10,10,10,10,15,10,10,15,0,0,0,0,90
530603,2021-2022,Public,Elementary,15,10,10,10,20,10,0,0,0,0,0,0,75
958050,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,255,195,180,195,825
672610,2021-2022,Public,Elementary,0,0,0,0,0,0,0,20,0,0,0,0,20
106913,2021-2022,Public,Elementary,0,0,0,0,0,0,55,50,0,0,0,0,105
548413,2021-2022,Public,Elementary,35,30,30,30,40,30,25,20,0,0,0,0,240
551660,2021-2022,Public,Elementary,15,25,20,20,20,25,0,0,0,0,0,0,125
895270,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,25,45,30,45,145
953148,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,130,140,85,135,490
144872,2021-2022,Public,Elementary,0,0,0,0,0,0,15,35,0,0,0,0,50
765031,2021-2022,Catholic,Elementary,20,20,15,25,15,30,25,40,0,0,0,0,190
827681,2021-2022,Catholic,Elementary,45,45,45,50,55,30,10,30,0,0,0,0,310
683773,2021-2022,Catholic,Elementary,0,10,10,0,0,0,10,0,0,0,0,0,30
708011,2021-2022,Catholic,Elementary,30,25,35,35,30,40,40,40,0,0,0,0,275
715298,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,275,265,290,330,1160
717703,2021-2022,Catholic,Elementary,20,10,10,20,10,15,15,10,0,0,0,0,110
865257,2021-2022,Catholic,Elementary,10,20,15,10,15,10,10,10,0,0,0,0,100
719919,2021-2022,Catholic,Elementary,20,20,25,25,25,20,20,25,0,0,0,0,180
735523,2021-2022,Catholic,Elementary,30,25,25,30,30,30,30,20,0,0,0,0,220
724068,2021-2022,Catholic,Elementary,25,20,25,20,25,25,30,20,0,0,0,0,190
728420,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,0,0,120,210,330
773875,2021-2022,Catholic,Elementary,40,45,40,45,50,45,50,45,0,0,0,0,360
835099,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,95,115,105,100,415
690932,2021-2022,Catholic,Elementary,0,0,0,0,0,0,60,55,0,0,0,0,115
