School Number,Year,School Type,School Level,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment,Total Enrolment
742279,2021-2022,Catholic,Elementary,25,15,10,20,20,15,10,20,0,0,0,0,135
746568,2021-2022,Catholic,Elementary,20,25,25,25,20,30,25,45,0,0,0,0,215
746690,2021-2022,Catholic,Elementary,20,20,25,15,20,15,25,10,0,0,0,0,150
706264,2021-2022,Catholic,Elementary,60,60,65,60,40,60,40,35,0,0,0,0,420
752932,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,195,235,205,270,905
756830,2021-2022,Catholic,Elementary,10,20,10,10,15,10,15,10,0,0,0,0,100
764370,2021-2022,Catholic,Elementary,20,15,15,10,15,15,20,10,0,0,0,0,120
868370,2021-2022,Catholic,Elementary,10,10,10,10,10,10,10,10,0,0,0,0,80
781142,2021-2022,Catholic,Elementary,10,15,15,15,10,10,15,15,0,0,0,0,105
756642,2021-2022,Catholic,Elementary,20,20,25,25,25,25,30,25,0,0,0,0,195
796220,2021-2022,Catholic,Elementary,15,25,20,30,25,35,20,15,0,0,0,0,185
799556,2021-2022,Catholic,Elementary,10,10,10,10,10,10,10,10,0,0,0,0,80
815330,2021-2022,Catholic,Elementary,30,40,35,45,40,50,40,30,0,0,0,0,310
830984,2021-2022,Catholic,Elementary,45,45,45,60,35,30,35,40,0,0,0,0,335
823570,2021-2022,Catholic,Elementary,40,30,25,30,30,45,20,30,0,0,0,0,250
824330,2021-2022,Catholic,Elementary,10,0,0,10,10,10,10,10,0,0,0,0,60
831840,2021-2022,Catholic,Elementary,40,40,45,45,35,40,0,0,0,0,0,0,245
865125,2021-2022,Catholic,Elementary,10,15,10,10,10,10,10,10,0,0,0,0,85
834688,2021-2022,Catholic,Elementary,75,75,55,70,70,65,0,0,0,0,0,0,410
841773,2021-2022,Catholic,Elementary,30,20,25,20,30,25,25,30,0,0,0,0,205
764248,2021-2022,Catholic,Elementary,10,10,10,10,0,10,10,10,0,0,0,0,70
706744,2021-2022,Catholic,Elementary,0,0,0,0,0,0,85,100,0,0,0,0,185
842761,2021-2022,Catholic,Elementary,15,10,10,15,10,10,20,15,0,0,0,0,105
841358,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,110,70,100,95,375
845493,2021-2022,Catholic,Elementary,55,45,40,50,50,60,0,0,0,0,0,0,300
851752,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,185,195,160,190,730
856150,2021-2022,Catholic,Elementary,25,20,15,25,25,25,25,20,0,0,0,0,180
19313,2021-2022,Public,Elementary,40,40,40,40,45,50,0,0,0,0,0,0,255
893048,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,0,10,10,25,45
20878,2021-2022,Public,Elementary,25,10,15,20,25,30,20,35,0,0,0,0,180
28673,2021-2022,Public,Elementary,50,55,50,55,50,55,0,0,0,0,0,0,315
39306,2021-2022,Public,Elementary,60,75,55,50,50,65,0,0,0,0,0,0,355
272319,2021-2022,Public,Elementary,25,25,15,15,10,10,0,0,0,0,0,0,100
66699,2021-2022,Public,Elementary,35,20,35,20,25,20,25,20,0,0,0,0,200
899569,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,135,115,115,105,470
93718,2021-2022,Public,Elementary,15,20,10,15,15,20,15,20,0,0,0,0,130
112917,2021-2022,Public,Elementary,20,30,25,25,25,25,35,35,0,0,0,0,220
145912,2021-2022,Public,Elementary,15,15,20,15,15,20,20,20,0,0,0,0,140
175170,2021-2022,Public,Elementary,30,30,45,20,35,25,50,35,0,0,0,0,270
190527,2021-2022,Public,Elementary,55,55,40,30,50,40,0,0,0,0,0,0,270
953776,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,115,120,145,150,530
181908,2021-2022,Public,Elementary,0,0,0,0,0,0,85,75,0,0,0,0,160
450242,2021-2022,Public,Elementary,0,0,0,0,0,0,55,75,0,0,0,0,130
913600,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,75,85,95,120,375
478133,2021-2022,Public,Elementary,50,65,75,50,75,65,0,0,0,0,0,0,380
242527,2021-2022,Public,Elementary,30,20,15,30,15,20,0,0,0,0,0,0,130
268003,2021-2022,Public,Elementary,25,30,35,20,35,20,45,25,0,0,0,0,235
268640,2021-2022,Public,Elementary,25,30,20,30,25,25,35,30,0,0,0,0,220
273694,2021-2022,Public,Elementary,40,30,35,35,40,40,40,25,0,0,0,0,285
923095,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,225,200,205,275,905
163619,2021-2022,Public,Elementary,50,50,35,50,45,35,0,0,0,0,0,0,265
285535,2021-2022,Public,Elementary,50,45,55,55,60,60,0,0,0,0,0,0,325
517103,2021-2022,Public,Elementary,50,55,65,50,65,65,0,0,0,0,0,0,350
366021,2021-2022,Public,Elementary,25,30,35,30,25,30,25,25,0,0,0,0,225
135064,2021-2022,Public,Elementary,0,0,0,0,0,0,80,70,0,0,0,0,150
927120,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,80,75,60,100,315
372781,2021-2022,Public,Elementary,10,20,20,20,20,20,15,15,0,0,0,0,140
406040,2021-2022,Public,Elementary,15,15,20,10,20,15,15,20,0,0,0,0,130
459441,2021-2022,Public,Elementary,55,60,55,45,50,55,95,90,0,0,0,0,505
578519,2021-2022,Public,Elementary,20,20,20,15,15,15,0,0,0,0,0,0,105
490040,2021-2022,Public,Elementary,15,20,15,15,10,15,0,0,0,0,0,0,90
504475,2021-2022,Public,Elementary,30,25,40,20,35,25,30,30,0,0,0,0,235
507725,2021-2022,Public,Elementary,20,30,15,25,25,20,0,0,0,0,0,0,135
943118,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,115,115,115,130,475
469900,2021-2022,Public,Elementary,0,0,0,0,0,0,90,90,0,0,0,0,180
523267,2021-2022,Public,Elementary,20,25,15,20,10,15,15,20,0,0,0,0,140
528650,2021-2022,Public,Elementary,10,20,10,20,20,20,15,15,0,0,0,0,130
944807,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,100,95,115,135,445
100438,2021-2022,Public,Elementary,0,0,0,0,0,0,60,65,0,0,0,0,125
535508,2021-2022,Public,Elementary,15,15,20,15,15,15,0,0,0,0,0,0,95
893395,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,320,295,300,430,1345
97284,2021-2022,Public,Elementary,0,0,0,0,0,0,220,260,0,0,0,0,480
566667,2021-2022,Public,Elementary,75,65,55,80,65,65,0,0,0,0,0,0,405
10472,2021-2022,Public,Elementary,40,30,40,25,35,20,30,25,0,0,0,0,245
11606,2021-2022,Public,Elementary,15,15,20,20,20,15,15,15,0,0,0,0,135
22322,2021-2022,Public,Elementary,35,40,40,40,35,55,40,35,0,0,0,0,320
552585,2021-2022,Public,Elementary,60,80,55,70,55,75,50,60,0,0,0,0,505
340804,2021-2022,Public,Elementary,20,35,25,20,35,25,25,15,0,0,0,0,200
67709,2021-2022,Public,Elementary,15,20,20,25,20,20,25,20,0,0,0,0,165
896969,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,25,25,30,25,105
169200,2021-2022,Public,Elementary,30,40,30,40,30,35,30,40,0,0,0,0,275
135143,2021-2022,Public,Elementary,25,25,25,30,20,20,0,0,0,0,0,0,145
458554,2021-2022,Public,Elementary,80,80,0,0,0,0,0,0,0,0,0,0,160
331307,2021-2022,Public,Elementary,70,70,80,85,85,85,75,90,0,0,0,0,640
167649,2021-2022,Public,Elementary,20,20,20,15,25,25,20,20,0,0,0,0,165
293776,2021-2022,Public,Elementary,50,40,35,40,25,30,0,0,0,0,0,0,220
524239,2021-2022,Public,Elementary,40,40,40,40,30,35,15,35,0,0,0,0,275
180789,2021-2022,Public,Elementary,65,85,80,75,60,75,60,65,0,0,0,0,565
925438,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,100,80,60,90,330
914444,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,165,150,140,175,630
281131,2021-2022,Public,Elementary,60,35,45,45,50,50,10,10,0,0,0,0,305
253316,2021-2022,Public,Elementary,45,25,40,25,35,35,35,35,0,0,0,0,275
152820,2021-2022,Public,Elementary,0,0,65,65,70,65,65,70,0,0,0,0,400
257168,2021-2022,Public,Elementary,15,15,15,10,15,10,10,10,0,0,0,0,100
257869,2021-2022,Public,Elementary,40,35,40,55,30,70,105,95,0,0,0,0,470
262935,2021-2022,Public,Elementary,35,30,30,25,30,40,45,25,0,0,0,0,260
273775,2021-2022,Public,Elementary,0,0,70,75,70,80,0,0,0,0,0,0,295
915556,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,140,150,165,190,645
7681,2021-2022,Public,Elementary,0,0,0,0,0,0,90,80,0,0,0,0,170
291030,2021-2022,Public,Elementary,55,35,60,60,65,35,0,0,0,0,0,0,310
919454,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,150,115,115,160,540
151668,2021-2022,Public,Elementary,0,0,0,0,0,0,105,90,0,0,0,0,195
293750,2021-2022,Public,Elementary,55,70,0,0,0,0,0,0,0,0,0,0,125
323900,2021-2022,Public,Elementary,15,20,15,10,15,15,10,10,0,0,0,0,110
198978,2021-2022,Public,Elementary,65,50,50,60,65,75,50,75,0,0,0,0,490
364290,2021-2022,Public,Elementary,15,20,20,25,15,20,10,20,0,0,0,0,145
401129,2021-2022,Public,Elementary,20,25,15,25,10,20,15,15,0,0,0,0,145
403741,2021-2022,Public,Elementary,60,65,50,55,50,50,0,0,0,0,0,0,330
93939,2021-2022,Public,Elementary,30,30,40,35,40,35,45,40,0,0,0,0,295
951692,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,295,255,295,395,1240
431028,2021-2022,Public,Elementary,15,15,10,10,10,10,10,20,0,0,0,0,100
953253,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,25,35,40,35,135
605743,2021-2022,Public,Elementary,40,35,25,20,35,30,35,45,0,0,0,0,265
450910,2021-2022,Public,Elementary,95,80,70,85,85,75,0,0,0,0,0,0,490
484970,2021-2022,Public,Elementary,35,40,25,35,20,30,35,25,0,0,0,0,245
940127,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,140,175,170,200,685
290604,2021-2022,Public,Elementary,0,0,0,0,0,0,130,150,0,0,0,0,280
155683,2021-2022,Public,Elementary,25,35,45,25,40,40,30,40,0,0,0,0,280
529826,2021-2022,Public,Elementary,10,10,10,0,0,0,0,0,0,0,0,0,30
540200,2021-2022,Public,Elementary,15,20,10,10,15,15,10,20,0,0,0,0,115
950262,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,110,95,90,120,415
569565,2021-2022,Public,Elementary,45,35,35,45,45,45,45,40,0,0,0,0,335
688088,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,415,395,360,455,1625
690015,2021-2022,Catholic,Elementary,25,25,25,30,20,20,20,25,0,0,0,0,190
769930,2021-2022,Catholic,Elementary,15,15,15,20,15,30,20,15,0,0,0,0,145
772058,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,10,30,25,40,105
696900,2021-2022,Catholic,Elementary,20,25,20,25,20,30,20,10,0,0,0,0,170
714453,2021-2022,Catholic,Elementary,25,25,15,20,20,25,20,25,0,0,0,0,175
716960,2021-2022,Catholic,Elementary,30,20,15,20,15,15,20,15,0,0,0,0,150
720232,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,240,250,245,290,1025
750259,2021-2022,Catholic,Elementary,40,30,35,30,30,30,40,25,0,0,0,0,260
736481,2021-2022,Catholic,Elementary,35,35,40,20,25,25,25,20,0,0,0,0,225
739200,2021-2022,Catholic,Elementary,30,40,20,30,40,25,45,35,0,0,0,0,265
743968,2021-2022,Catholic,Elementary,10,10,10,10,10,10,10,10,0,0,0,0,80
749125,2021-2022,Catholic,Elementary,25,15,25,30,35,30,35,35,0,0,0,0,230
753084,2021-2022,Catholic,Elementary,10,15,15,15,10,15,15,10,0,0,0,0,105
762756,2021-2022,Catholic,Elementary,50,55,45,50,45,35,35,40,0,0,0,0,355
759309,2021-2022,Catholic,Elementary,15,15,15,20,10,20,15,20,0,0,0,0,130
751898,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,285,285,245,270,1085
704940,2021-2022,Catholic,Elementary,65,45,55,60,60,50,60,55,0,0,0,0,450
779067,2021-2022,Catholic,Elementary,20,30,25,20,35,25,25,25,0,0,0,0,205
782050,2021-2022,Catholic,Elementary,15,10,10,10,10,10,15,20,0,0,0,0,100
789984,2021-2022,Catholic,Elementary,20,40,30,35,30,30,25,30,0,0,0,0,240
793256,2021-2022,Catholic,Elementary,25,30,35,45,45,35,50,55,0,0,0,0,320
810827,2021-2022,Catholic,Elementary,55,60,70,60,50,45,45,60,0,0,0,0,445
818453,2021-2022,Catholic,Elementary,35,35,45,40,30,40,20,35,0,0,0,0,280
852434,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,10,20,20,75,125
831450,2021-2022,Catholic,Elementary,20,20,15,15,15,15,10,15,0,0,0,0,125
834831,2021-2022,Catholic,Elementary,10,10,10,10,10,10,10,10,0,0,0,0,80
834963,2021-2022,Catholic,Elementary,20,25,25,30,20,25,30,20,0,0,0,0,195
840530,2021-2022,Catholic,Elementary,10,15,15,15,15,10,10,15,0,0,0,0,105
840556,2021-2022,Catholic,Elementary,25,25,25,25,25,25,20,30,0,0,0,0,200
844977,2021-2022,Catholic,Elementary,15,20,15,20,20,20,15,20,0,0,0,0,145
846791,2021-2022,Catholic,Elementary,20,25,30,25,20,30,35,30,0,0,0,0,215
850950,2021-2022,Catholic,Elementary,20,15,10,20,15,20,10,15,0,0,0,0,125
853038,2021-2022,Catholic,Elementary,15,15,20,20,20,20,15,15,0,0,0,0,140
721255,2021-2022,Catholic,Elementary,45,35,35,30,30,25,30,30,0,0,0,0,260
711985,2021-2022,Catholic,Elementary,35,40,30,20,30,35,35,30,0,0,0,0,255
710296,2021-2022,Catholic,Elementary,10,10,10,15,10,15,10,10,0,0,0,0,90
737399,2021-2022,Catholic,Elementary,0,0,90,90,110,95,100,100,0,0,0,0,585
759430,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,170,135,170,210,685
732133,2021-2022,Catholic,Elementary,15,15,10,10,15,15,15,10,0,0,0,0,105
864218,2021-2022,Catholic,Elementary,10,10,10,10,10,10,10,20,0,0,0,0,90
774332,2021-2022,Catholic,Elementary,45,65,50,45,45,45,50,40,0,0,0,0,385
776602,2021-2022,Catholic,Elementary,90,100,0,0,0,0,0,0,0,0,0,0,190
751464,2021-2022,Catholic,Elementary,35,30,20,15,35,10,30,15,0,0,0,0,190
776599,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,235,205,220,355,1015
705098,2021-2022,Catholic,Elementary,10,20,15,10,15,15,10,15,0,0,0,0,110
732800,2021-2022,Catholic,Elementary,25,45,30,35,30,20,25,20,0,0,0,0,230
689610,2021-2022,Catholic,Elementary,55,45,55,40,50,35,0,0,0,0,0,0,280
725542,2021-2022,Catholic,Elementary,0,10,0,10,0,0,0,0,0,0,0,0,20
715131,2021-2022,Catholic,Elementary,60,85,60,65,80,75,0,0,0,0,0,0,425
828203,2021-2022,Catholic,Elementary,35,45,50,40,40,40,25,25,0,0,0,0,300
821553,2021-2022,Catholic,Elementary,0,0,0,0,0,0,100,90,0,0,0,0,190
715190,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,110,95,125,135,465
696269,2021-2022,Catholic,Elementary,25,25,20,25,15,15,20,20,0,0,0,0,165
691127,2021-2022,Catholic,Elementary,25,25,20,15,15,20,0,0,0,0,0,0,120
753670,2021-2022,Catholic,Elementary,65,60,55,60,55,55,0,0,0,0,0,0,350
736457,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,125,105,115,155,500
697630,2021-2022,Catholic,Elementary,0,0,0,0,0,0,120,125,0,0,0,0,245
741361,2021-2022,Catholic,Elementary,35,25,20,25,20,25,25,10,0,0,0,0,185
750646,2021-2022,Catholic,Elementary,35,30,20,35,25,30,0,0,0,0,0,0,175
759040,2021-2022,Catholic,Elementary,55,45,45,40,50,55,0,0,0,0,0,0,290
758787,2021-2022,Catholic,Elementary,10,10,10,10,10,15,10,10,0,0,0,0,85
769312,2021-2022,Catholic,Elementary,20,20,20,25,15,20,25,20,0,0,0,0,165
771651,2021-2022,Catholic,Elementary,35,25,30,30,30,40,0,0,0,0,0,0,190
788686,2021-2022,Catholic,Elementary,10,10,10,10,10,10,10,10,0,0,0,0,80
806102,2021-2022,Catholic,Elementary,15,15,15,15,20,20,10,10,0,0,0,0,120
751502,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,65,60,55,60,240
792365,2021-2022,Catholic,Elementary,0,0,0,0,0,0,65,65,0,0,0,0,130
792322,2021-2022,Catholic,Elementary,10,15,10,15,15,20,0,0,0,0,0,0,85
791938,2021-2022,Catholic,Elementary,65,55,65,50,40,40,0,0,0,0,0,0,315
803022,2021-2022,Catholic,Elementary,30,35,30,45,40,35,0,0,0,0,0,0,215
804800,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,95,85,70,90,340
802700,2021-2022,Catholic,Elementary,40,45,45,45,40,50,0,0,0,0,0,0,265
806277,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,170,210,170,185,735
725374,2021-2022,Catholic,Elementary,20,20,25,20,20,25,15,15,0,0,0,0,160
813907,2021-2022,Catholic,Elementary,30,30,35,35,25,40,25,35,0,0,0,0,255
736201,2021-2022,Catholic,Elementary,25,15,30,35,30,25,35,25,0,0,0,0,220
824593,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,105,110,135,125,475
828726,2021-2022,Catholic,Elementary,0,0,0,0,0,0,80,65,0,0,0,0,145
828980,2021-2022,Catholic,Elementary,35,25,20,30,25,20,0,0,0,0,0,0,155
828874,2021-2022,Catholic,Elementary,0,0,0,70,105,100,0,0,0,0,0,0,275
830283,2021-2022,Catholic,Elementary,25,20,25,30,25,40,25,20,0,0,0,0,210
726176,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,35,25,20,40,120
832502,2021-2022,Catholic,Elementary,0,0,0,0,0,0,105,115,0,0,0,0,220
832480,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,125,130,125,110,490
753602,2021-2022,Catholic,Elementary,35,35,40,35,30,50,0,0,0,0,0,0,225
844713,2021-2022,Catholic,Elementary,20,25,30,30,30,25,0,0,0,0,0,0,160
773450,2021-2022,Catholic,Elementary,105,75,110,0,0,0,0,0,0,0,0,0,290
745698,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,0,10,10,10,30
680764,2021-2022,Catholic,Elementary,0,0,0,0,0,0,75,90,0,0,0,0,165
767431,2021-2022,Catholic,Elementary,0,0,0,0,0,0,130,110,0,0,0,0,240
803065,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,25,25,15,20,85
818968,2021-2022,Catholic,Elementary,0,0,0,0,0,0,10,20,0,0,0,0,30
814555,2021-2022,Catholic,Elementary,45,35,50,40,35,30,35,25,0,0,0,0,295
765428,2021-2022,Catholic,Elementary,0,0,0,0,0,0,25,20,0,0,0,0,45
733067,2021-2022,Catholic,Secondary,0,0,0,0,0,0,0,0,130,115,140,120,505
773026,2021-2022,Catholic,Elementary,0,0,0,0,0,0,110,145,0,0,0,0,255
23549,2021-2022,Public,Elementary,40,20,20,15,20,20,0,0,0,0,0,0,135
199761,2021-2022,Public,Elementary,10,15,10,15,10,20,0,0,0,0,0,0,80
165468,2021-2022,Public,Elementary,20,15,15,15,25,25,0,0,0,0,0,0,115
165409,2021-2022,Public,Elementary,25,40,25,35,40,45,0,0,0,0,0,0,210
918997,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,50,60,40,50,200
117382,2021-2022,Public,Elementary,0,0,0,0,0,0,85,80,0,0,0,0,165
165204,2021-2022,Public,Elementary,0,0,0,0,0,0,30,35,0,0,0,0,65
310415,2021-2022,Public,Elementary,0,0,0,0,0,0,75,70,0,0,0,0,145
922089,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,40,15,0,0,55
909858,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,10,15,10,10,45
907553,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,30,15,25,15,85
910554,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,65,70,55,55,245
914723,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,45,35,25,40,145
907308,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,30,35,30,20,115
907642,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,100,110,110,110,430
934852,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,25,25,25,25,100
896889,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,35,25,20,25,105
925326,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,55,40,50,30,175
901037,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,50,50,40,55,195
952803,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,55,55,45,40,195
961008,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,35,40,30,35,140
907588,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,60,50,65,65,240
156167,2021-2022,Public,Elementary,25,45,20,20,30,25,10,10,0,0,0,0,185
165441,2021-2022,Public,Elementary,60,45,40,35,35,85,0,0,0,0,0,0,300
393396,2021-2022,Public,Elementary,10,15,25,10,10,10,0,0,0,0,0,0,80
447621,2021-2022,Public,Elementary,50,55,80,45,50,40,0,0,0,0,0,0,320
474256,2021-2022,Public,Elementary,0,0,0,0,0,0,50,25,0,0,0,0,75
342322,2021-2022,Public,Elementary,20,15,15,15,10,15,0,0,0,0,0,0,90
532816,2021-2022,Public,Elementary,0,0,0,0,0,0,10,20,0,0,0,0,30
4367,2021-2022,Public,Elementary,15,10,10,10,10,10,0,0,0,0,0,0,65
194069,2021-2022,Public,Elementary,25,20,10,15,40,20,0,0,0,0,0,0,130
165212,2021-2022,Public,Elementary,0,0,0,0,0,0,115,85,0,0,0,0,200
